fingerprint,brand,product_name,positive_rewrites,negative_rewrites,positive_body_rewrites,negative_body_rewrites,model,prompt_version
0059a4f47cf3bdd06d05ba6386340f5c316900b6b80f31ee9a67c6a29a45c97b,7-11,SUAN蜜柚綠茶氣泡飲,"[{""source_index"":3,""text"":""好喝且不會太甜""},{""source_index"":10,""text"":""很好喝，會回購""}]","[{""source_index"":8,""text"":""喝過但不會特地回購""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0084adb58fe68922fbfa966c8b52f2ef5f5ba8b42f0872dd987888095a43da0a,全家,CHOYA梅子酷繽沙,"[{""source_index"":7,""text"":""組合喝起來不錯""},{""source_index"":8,""text"":""水果與梅酒氣味很搭""}]","[{""source_index"":4,""text"":""冰沙融很快，份量少不過癮""},{""source_index"":5,""text"":""全融後喝起來太甜""},{""source_index"":6,""text"":""更喜歡梅酒加冰塊""}]","[{""source_index"":6,""text"":""喝起來蠻清爽""},{""source_index"":7,""text"":""水蜜桃果粒和梅子酸很搭""},{""source_index"":9,""text"":""下次想直接多加梅酒""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
00c6d8887d068d89cbc6cb305f778c6dc20363cf7aec6395ad8630d9b25545b3,7-11,CITY水果冰沙多肉葡萄,"[{""source_index"":2,""text"":""帶皮葡萄增加咀嚼感""}]","[{""source_index"":3,""text"":""果肉少，葡萄皮口感礙事""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
00dd96470704f35923f5c3af75e8eacd60a94059a029497a88bce01920807b0a,7-11,一鍋燒滑蛋嫩雞親子丼,"[{""source_index"":8,""text"":""雞肉滑嫩，沒有塑膠味""}]",[],[],"[{""source_index"":0,""text"":""微波後賣相不好""},{""source_index"":3,""text"":""味道偏甜""}]",gpt-5.6-luna,comment-picks-v3-aspect-coverage
00e839e8bdace650f4a755de6942b2ecba0eb7cc6ecabf80d09b9f09184cb525,全家,蜂蜜芥末辣雞堡,"[{""source_index"":13,""text"":""炸雞肉厚""},{""source_index"":10,""text"":""配飲料價格較剛好""}]","[{""source_index"":3,""text"":""蜂蜜芥末味很淡""},{""source_index"":4,""text"":""辣味太突出""},{""source_index"":9,""text"":""價格偏貴""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
00f1f0b3c7c6f81698c9e698119ca5fb6aa307a89602ac3919164d14bdafb550,全家,韓式燒肉拌飯,[],"[{""source_index"":0,""text"":""食材感覺都很廉價""}]","[{""source_index"":0,""text"":""不會真的辣，帶韓式辣醬香""},{""source_index"":1,""text"":""吃完會飽，像餐廳拌飯""},{""source_index"":2,""text"":""95元偏貴，但下次還會買""}]",[],gpt-5.6-luna,comment-picks-v2-rewrite
01042db10ba36bf30c8ccefbb0bf9f79cab72b767a52ae1d0ec8d3773ce0eb06,7-11,新台味泰式冬蔭鍋,[],"[{""source_index"":0,""text"":""台味冬蔭鍋不夠道地""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
010707493928aba3b8de3ad28d063136667c2074a86062cf1a09b2af931ac438,7-11,莎郎嘿柚韓柚風味青茶,"[{""source_index"":1,""text"":""偏甜，螞蟻人會喜歡""}]","[{""source_index"":0,""text"":""每杯總糖量約72.5至78.2克""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
015ecbe75dda768ec7bec854c4a25d652b7defe63bfa3c323c60aadff1eacdaa,全家,起司牛奶鍋,"[{""source_index"":0,""text"":""湯頭更濃，還有蛋餃""},{""source_index"":8,""text"":""一鍋吃得飽""},{""source_index"":14,""text"":""適合加菜、菇類和肉片煮""}]","[{""source_index"":12,""text"":""味道四平八穩，但料很少""},{""source_index"":16,""text"":""料和冬粉加熱後綿掉，湯像麵粉調的""},{""source_index"":17,""text"":""豬肉片腥味很重""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
016060f53cf0c8878ca5c522d3db275281617403d823f11ea907039482a0c3d7,7-11,光泉午后時光紅蘊琥珀奶茶,"[{""source_index"":2,""text"":""茶香較明顯，但偏甜且有奶粉味""}]","[{""source_index"":1,""text"":""奶茶很水""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0165deac4fd69e8544b87a79a0bf942a92527e3fbe3c2191fa63b1b15e7ea395,7-11,卡迪那蔥鹽雞肉串波浪洋芋片,[],[],"[{""source_index"":11,""text"":""不會太鹹""},{""source_index"":12,""text"":""香氣仍有表現""}]","[{""source_index"":10,""text"":""蔥鹽雞肉串調味不濃""}]",gpt-5.6-luna,comment-picks-v2-rewrite
016661b9b90a00c2e4771d2a57cb58d8b83a6de8bfa4ea3f642aed4f4f4071d5,全家,巧酥餅乾泡芙,"[{""source_index"":2,""text"":""冷凍後口感特別""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
016a9c8647e758c41f0ad751c039b122ccec37f731b938508a067242b32d351d,全家,冰鎮雙柚蜜桃紅烏龍,"[{""source_index"":3,""text"":""果粒很多，喝得到果肉""},{""source_index"":8,""text"":""果汁感很重""}]","[{""source_index"":10,""text"":""甜度太高""},{""source_index"":11,""text"":""香料味太重""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
018abe8ebec8bcf68c9b902a2cc362ef1eb111069f7f6f02f23e954e607db3d9,全家,煉乳牛奶霜淇淋,[],[],"[{""source_index"":2,""text"":""偏甜但不太膩，味道有趣""}]","[{""source_index"":1,""text"":""像保久乳加糖水，風味廉價""}]",gpt-5.6-luna,comment-picks-v3-aspect-coverage
018deab3c1523834798dd3dcf5a3f8be9ce060f0d526adf25bbc31c9fed16555,7-11,桂圓核桃蛋糕,"[{""source_index"":1,""text"":""蛋糕份量大""},{""source_index"":6,""text"":""口味不錯，包裝有質感""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0193d488d2c1ccefc1e0a67ce76c0b5290b0872b26332ad47ac984935ce95564,全家,紅豆燕麥麵包,"[{""source_index"":1,""text"":""一週吃兩次，蠻喜歡這款""},{""source_index"":4,""text"":""比一般紅豆麵包更喜歡，因為有燕麥""},{""source_index"":6,""text"":""減糖版值得怕甜的人試試""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
01c05951b14222719c552b28cbc81bb26529ac2022ace468e02ff9e90da6c3e2,7-11,雙餡鬆餅,[],[],[],"[{""source_index"":11,""text"":""榛果醬加奶霜，甜度偏高""}]",gpt-5.6-luna,comment-picks-v3-aspect-coverage
01cab007423673cc76e8ca548b7e389e02487aa014552b29d82b2a00383bcef5,全家,雙月剝皮辣椒嫩雞胸,[],[],"[{""source_index"":2,""text"":""剝皮辣椒味不太辣，怕辣者也能吃""},{""source_index"":3,""text"":""鹹香入味，調味很喜歡""},{""source_index"":4,""text"":""雞肉肉質軟嫩多汁""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
01d485e0fc2dbd023ec8957b643e9747b2bceb247771c4df5f5dd4677fe5419b,7-11,極饗番茄蛋湯麵,[],"[{""source_index"":4,""text"":""番茄湯濃，但配料很少""},{""source_index"":11,""text"":""原價太貴，只考慮珍食""}]","[{""source_index"":1,""text"":""麵條有彈性，不會軟爛""},{""source_index"":2,""text"":""蛋吸滿湯汁，湯頭濃郁""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
01e0b4a2fc2246471fe869b2eae759aa476ff2dd864acdc663fe2f5efda1e759,7-11,杜老爺太妃糖起司冰淇淋甜筒,"[{""source_index"":16,""text"":""起司搭太妃糖，鹹甜不膩""},{""source_index"":19,""text"":""鹹甜搭配好，一次兩支會飽""}]","[{""source_index"":9,""text"":""特價尚可，原價不回購""},{""source_index"":10,""text"":""不喜歡核桃碎""},{""source_index"":18,""text"":""這款好吃但偏普通""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
01e2ac6d9306e3404e72505f1b43312b827945b4fa8236e1a2e8c27338ee18c2,全家,2025野獸國福袋,[],"[{""source_index"":0,""text"":""內容看起來像滯銷垃圾""},{""source_index"":4,""text"":""玩具福袋容易抽到不喜歡，不值得""},{""source_index"":6,""text"":""近800元，價格偏高""}]","[{""source_index"":0,""text"":""按標價計算，內容價值超過799元""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
01f3d3653c9f3960020fcc8bb1041e38b337b33d411e060d728ac7c381d9048c,7-11,心潮飯店臘味炒飯,[],"[{""source_index"":1,""text"":""太油，吃完胃不舒服""},{""source_index"":6,""text"":""價格近百且份量少""}]","[{""source_index"":0,""text"":""炒飯粒粒分明，調味微甜""},{""source_index"":7,""text"":""喜歡甜香腸炒飯的可以試""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
01fbf4d646b88a4593bc28fcc3ce5c7d1baaa523ad5003e62ab76c563c7cf374,全家,夏茉紅心芭樂,"[{""source_index"":6,""text"":""芭樂口味很好喝""}]",[],[],"[{""source_index"":1,""text"":""芭樂味不強，甜度約微糖""},{""source_index"":3,""text"":""只適合嚐鮮，不會回購""}]",gpt-5.6-luna,comment-picks-v2-rewrite
02048e5fde304c7eb8ca6a3efe213f456d5a1965c1293c42877b9d9ac65daefe,全家,Picard炸馬鈴薯球,"[{""source_index"":10,""text"":""約兩人分食剛好""},{""source_index"":13,""text"":""氣炸後香又好吃，需加胡椒""}]","[{""source_index"":7,""text"":""吃幾顆就有點膩，之後沒再買""},{""source_index"":16,""text"":""口感太細，個人不喜歡""},{""source_index"":17,""text"":""冷凍味重，口感味道都差""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
020b95d09751dee04bb7a86d13b53c13ee5da605a509c6296b4a2591f3b8f8f8,全家,百事蠟筆小新夏日歡樂箱,"[{""source_index"":1,""text"":""小新包包可愛，路上回頭率應該高""},{""source_index"":11,""text"":""提袋是一般餐袋大小，覺得值得""},{""source_index"":12,""text"":""壓克力鑰匙圈很可愛""}]","[{""source_index"":2,""text"":""毛毛材質怕弄髒，不敢帶出門""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
020de00cb02256d8bbb7f16fe705621e8c8210ce4c5b641fc296f01a47d793ad,萊爾富,馬年福袋,"[{""source_index"":4,""text"":""袋子設計用心，沒有大Logo""},{""source_index"":35,""text"":""保冷袋實用，折價購入也不錯""}]","[{""source_index"":7,""text"":""袋子不錯，但內容物沒吸引力""},{""source_index"":14,""text"":""袋子外皮質感差，容易皺""},{""source_index"":28,""text"":""袋子薄，保冷效果有限""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
02185351c574b131e838e06bb47c2a7e5f21b1ba66201a08da633ebd9810e352,7-11,明太子雞肉溏心蛋三明治,"[{""source_index"":0,""text"":""冷著吃也很喜歡""},{""source_index"":2,""text"":""加熱後也覺得好吃""}]","[{""source_index"":6,""text"":""味道普通而且偏鹹""},{""source_index"":11,""text"":""吃到一半覺得不適，雞肉不合口味""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
02470ec15f6865df8553bc90f59bff13aca9fffd63ef46052d026f6f047e32b0,全家,抹茶蒙布朗布丁,"[{""source_index"":8,""text"":""布丁部分好吃""}]","[{""source_index"":0,""text"":""紅豆味太重""},{""source_index"":2,""text"":""茶味不明顯，吃完很膩""},{""source_index"":4,""text"":""太甜，不好吃""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
025d1416a3671c481f49a2d0100f7c32f2bd1df497839bc325e65fcc54728978,全家,巧酥餅乾三明治,"[{""source_index"": 1,""text"": ""餅乾好吃，但掉屑很煩""},{""source_index"": 4,""text"": ""冷凍後好吃""}]","[{""source_index"": 16,""text"": ""廉價奶油感很重""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0265664b993f82dfbc0913512771b924b0a0e46d03b7a5f9a872f1be6ccb728f,全家,ICC開心果脆餅冰淇淋,"[{""source_index"":6,""text"":""這款好吃但偏貴""}]","[{""source_index"":7,""text"":""開心果香味不明顯""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0269d088d6ed36d19165671a75b7de73e88922ca9614761bccba9c7f04b8f663,全家,哆啦A夢一番賞,"[{""source_index"":2,""text"":""銅鑼燒造型很可愛""},{""source_index"":1,""text"":""抽到的爽感無價""}]","[{""source_index"":5,""text"":""一抽很貴，幾乎都會賠""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
026bb0182209adf0210d8c5dc42db4a66deb7049846ad33f79fa7b609d8bb305,萊爾富,巧克力花生三明治,"[{""source_index"":0,""text"":""六至九點買很划算""},{""source_index"":2,""text"":""內餡很滿，吃起來很爽""},{""source_index"":4,""text"":""內餡不會太甜""}]",[],[],"[{""source_index"":22,""text"":""巧克力偏甜，約半糖以上""},{""source_index"":27,""text"":""花生奶油吃多會偏鹹""}]",gpt-5.6-luna,comment-picks-v3-aspect-coverage
02a24fc7e73fc85ea16f33d2ea3332c6b9780f7d8a07329e5bfcfa33ffaa375e,全家,奶香派派,[],[],"[{""source_index"":1,""text"":""奶香味濃郁""}]","[{""source_index"":3,""text"":""產品定位略顯尷尬""}]",gpt-5.6-luna,comment-picks-v3-aspect-coverage
02b24a06adbd8932f6bbc4134cbcbe7b91b3ca45b66cb6aad4a3a6cfce4fe305,全家,贅沢巧克力,[],[],"[{""source_index"":4,""text"":""巧克力帶微苦味""}]",[],gpt-5.6-luna,comment-picks-v2-rewrite
02b47b40d9fef302cd68be4f6926297081e496ed646d70aadb584261839cfca0,全家,瑪麗貓聖誕水晶球,"[{""source_index"":0,""text"":""水晶球和毛衣搭配有創意""},{""source_index"":12,""text"":""造型漂亮，送人也可以""},{""source_index"":15,""text"":""水晶球和提袋都可愛""}]","[{""source_index"":4,""text"":""雖然漂亮，但不推每年買一顆""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
02b68d6669eaa3e0345cccfde3928312138d8cbae4ce80e475855ab88be32522,7-11,乖乖HomeRun應援袋中職六隊球衣磁鐵,"[{""source_index"":1,""text"":""整套貼起來很好看""},{""source_index"":4,""text"":""乖乖聯名小物做得不錯""},{""source_index"":6,""text"":""值得收藏整套""}]",[],[],"[{""source_index"":11,""text"":""收整套會變乖乖富翁""}]",gpt-5.6-luna,comment-picks-v3-aspect-coverage
02c5cd8b45d5673e52ce545876187673b343827a09996c6bf04f210d032e7c57,全家,哈肯鋪明太子軟法,"[{""source_index"":2,""text"":""半條份量，還不錯吃""},{""source_index"":3,""text"":""軟法口感很讚""}]","[{""source_index"":5,""text"":""沒有嗶嗶啵啵感，不太推""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
02e1b58c09c6d96da2819b629799543bcbd981808d9229a42a6303d04c783902,全家,漢寶越式雞肉風味河粉,"[{""source_index"":3,""text"":""越式風味像店家，河粉容易變軟""}]","[{""source_index"":7,""text"":""味道驚艷，但份量不多""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
02e74abd7586fde16313b7a12091a74f491285fcfd575bd199d2f66bfe111d81,全家,紅豆mini銅鑼燒,"[{""source_index"":0,""text"":""小尺寸方便入口""},{""source_index"":2,""text"":""小巧適合解饞，甜食負擔較小""},{""source_index"":4,""text"":""紅豆餡不會太膩""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
02e75d4b0b7a230066867c094a48b08050f389f4d3cedc2207fea3ace23d0478,7-11,吳一無二檸檬奶霜可頌,"[{""source_index"":3,""text"":""使用檸檬原汁""}]","[{""source_index"":2,""text"":""奶霜偏少，檸檬味分散""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
02e81a8237bde4b851336286aa7a918872e2f8d115b9ca5086b3bb37a1b386f5,全家,雙月檸檬愛玉凍,"[{""source_index"":3,""text"":""1000克69元，算划算""}]","[{""source_index"":0,""text"":""69元仍不如愛之味""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
033bc6bb87c6eb535abe7e2cbaa0edc4267a0c75d58e204bbc7db6258b9d9b2b,全家,可可脆皮泡芙,"[{""source_index"":2,""text"":""冷凍吃好吃很多""},{""source_index"":3,""text"":""巧克力脆皮很可以""}]","[{""source_index"":5,""text"":""冷藏時外皮偏軟""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
03663424a1da956d9b3af9047e023071564d0587edc1ebb4e6de6309162930b2,7-11,沙茶炙燒魷魚烤飯糰,[],"[{""source_index"":3,""text"":""容易微波不均，米心會硬""}]","[{""source_index"":3,""text"":""魷魚給得多，還有大塊的""}]",[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
036eeb3921681e4e78e7dd3ffdcab4e6694b13fa5b70f1874b00e91881b860ea,全家,韓式麻藥蛋,"[{""source_index"":3,""text"":""可買回來醃自煮的半熟蛋""},{""source_index"":9,""text"":""麻藥蛋湯汁很多""}]","[{""source_index"":0,""text"":""麻藥蛋太甜""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
037d9aae4fa2163bb33d1706a63da247edefa558872423f79b0ed6e28716b869,全家,檸檬紅茶三明治,"[{""source_index"":7,""text"":""檸檬餡帶苦味，很喜歡""},{""source_index"":8,""text"":""紅茶奶霜不甜膩""},{""source_index"":11,""text"":""紅茶奶油甜而不膩""}]",[],[],"[{""source_index"":15,""text"":""兩側檸檬餡有點少""}]",gpt-5.6-luna,comment-picks-v2-rewrite
038b3c02f40da07069da2e85a1c875a41c101ba604ff0400e97fec5dba10847b,萊爾富,炙燒牛肉海苔飯捲,"[{""source_index"":4,""text"":""牛肉品質不差""},{""source_index"":5,""text"":""炙燒味做得很足""},{""source_index"":8,""text"":""早餐份量對我偏多""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
03c7f95e9beb4a5797357b91e8051c1a707a91906d72b139e2f3a8f4818980ec,全家,失控起司薯餅焗飯,"[{""source_index"":1,""text"":""起司很多""}]","[{""source_index"":2,""text"":""薯餅濕軟""},{""source_index"":4,""text"":""鈉含量1100""},{""source_index"":28,""text"":""吃幾口就膩，點數換也不值得""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
03db73b2240bc914ee83a4f9672e8fbfeec19b6edca6f0d62dbb5b67bac18df4,全家,麵屋武藏武士叉燒便當,"[{""source_index"": 33, ""text"": ""味道可以，份量再多更好""}]","[{""source_index"": 17, ""text"": ""肉真的少""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
03e8340048cc81d75ed88c0d534afb3311e6a5fb2e48d98698c1597e44299a20,7-11,涓豆腐泡菜冬粉,"[{""source_index"":5,""text"":""好吃，熱量也好控制""},{""source_index"":2,""text"":""65元份量算合理""},{""source_index"":17,""text"":""以超商來看配料很可以""}]","[{""source_index"":0,""text"":""裡面沒有肉""},{""source_index"":10,""text"":""味道有點甜""},{""source_index"":11,""text"":""這款份量很少""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
03eabdbdf5dde0a2522a98a5d04780e496a597db51c39e4bc37d12f49f6cbc77,全家,咖啡凍拿鐵,"[{""source_index"":1,""text"":""咖啡凍口感不錯""},{""source_index"":11,""text"":""咖啡味不重，也不會太甜""}]","[{""source_index"":6,""text"":""不太喜歡咖啡凍口感""},{""source_index"":10,""text"":""喝起來像有糖拿鐵""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0409b53cdd3452a0ac1c24539c1e53b9011b5caf63967e777c7782f11fb191e3,7-11,伯朗黑糖奶茶,"[{""source_index"":19,""text"":""喝起來像有粉圓的奶茶""},{""source_index"":22,""text"":""還原黑糖珍珠風味""},{""source_index"":24,""text"":""超商算好喝，特價便宜""}]","[{""source_index"":6,""text"":""糖量接近40克""},{""source_index"":25,""text"":""甜膩，需要加冰稀釋""}]",[],[],gpt-5.6-luna,comment-picks-v2-rewrite
04317a0aa8d112cb10702a443b97dc244bc1f2a0494b973ec65c75ba271f6622,全家,德腸烤飯糰雙拼餐盒,"[{""source_index"":3,""text"":""飯糰不錯，其中一個偏辣""}]","[{""source_index"":6,""text"":""口味偏鹹""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
043770aad9975bd2aff5540486b8d941f23e91bda4b573283d273861716a614f,7-11,乖乖馬上貼春聯袋,"[{""source_index"":0,""text"":""春聯造型可愛""},{""source_index"":1,""text"":""磁鐵春聯很方便""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
044a0dfff8f6229003f215cd175738fe0ad60c0aa00a36ef8ab6d316a1d38f8c,全家,西西里雞肉冷義大利麵,"[{""source_index"":19,""text"":""天氣熱吃起來很開胃""}]","[{""source_index"":4,""text"":""醬多但料與麵少，友善價也偏貴""},{""source_index"":6,""text"":""醬汁太稠，吃起來很膩""},{""source_index"":26,""text"":""醬汁難吃，雞肉也很小""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0466cbbe82672a0d6839aaef42eb30ef46ae1eeb2682d50ccb3ea2cc5c73f0aa,7-11,蜂蜜奶霜鬆餅,"[{""source_index"":0,""text"":""鹹甜交錯，吃起來好吃""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
046dde02814f72ab5e5c5e5a19be4e1977651cf2d05d32a63eb8357db5e446b3,7-11,爽健美茶,"[{""source_index"":3,""text"":""無咖啡因，是多一個選擇""}]","[{""source_index"":4,""text"":""不喜歡台版味道""},{""source_index"":16,""text"":""改版後很像16茶""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
04715e9838d938627697e0ba384328179dce9e8dbbfb5d8c30701b1614b20a99,全家,嚼代爽椒隨手包,"[{""source_index"":3,""text"":""辣度高，甜味適量""}]","[{""source_index"":25,""text"":""不辣又太甜，味道很怪""},{""source_index"":0,""text"":""吃幾口就丟掉""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
0482a890db1ed561c28b3375b19f86b5a5fca14fc136c896c95a91a6db516b7d,全家,洪瑞珍三明治花生芝麻麻糬,"[{""source_index"":14,""text"":""加熱後芝麻花生香，麻糬會牽絲""},{""source_index"":25,""text"":""新口味好吃，會想回購""}]","[{""source_index"":11,""text"":""芝麻花生餡料偏少""},{""source_index"":31,""text"":""吐司很乾，整體很普通""},{""source_index"":27,""text"":""加熱後好吃但整體偏甜""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
04a2082c67f6731ef9901b3966ed595f55134ce0c54b2f3ece795faccddd690a,7-11,韓式醬燉蛋,"[{""source_index"":3,""text"":""好吃又很下飯""},{""source_index"":5,""text"":""不辣，沾醬更好吃""}]","[{""source_index"":0,""text"":""價格偏貴""},{""source_index"":7,""text"":""味道普普""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
04a6334b1765a7996b1378c739ad67596233975476565d065ff727d1c9ff20cf,全家,海鮮粥,"[{""source_index"":10,""text"":""喜歡濃稠粥感，會回購""},{""source_index"":12,""text"":""點數加價可嘗鮮""}]","[{""source_index"":4,""text"":""海鮮份量少""},{""source_index"":8,""text"":""味道偏腥""},{""source_index"":14,""text"":""部分蛤蜊有沙""}]",[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
04be667d4d1141f1e3335874f244c7c0b3c3008fb5d0bfdcf7d43d01c00da082,萊爾富,野生喵喵怪變色黑金杯,"[{""source_index"":0,""text"":""會變色很酷""},{""source_index"":3,""text"":""變黃後很可愛""}]",[],[],[],gpt-5.6-luna,comment-picks-v3-aspect-coverage
