fingerprint,post_id,brand,product_name,source_indices,rewrite,model,prompt_version
009d0a4cebff33f17fc0b81dc2c868879567a676fc746be44107a704825e3808,M.1724041324.A.049,全家,冰糖銀耳湯,2|4|9,冰涼有桂圓但偏甜，價格可接受,gpt-5.6-luna,excerpt-v2-rewrite
009fb81838b261943da4bbd54f11860dfa1f1350fcf0fd1130895a48dadbec1d,M.1745670438.A.0CC,7-11,延世大學草莓生乳包,1|2,草莓果醬味，生乳餡料多，建議等即期,gpt-5.6-luna,excerpt-v2-rewrite
00bcb3e10691254d471e65069e0828534bfecb9dfba4a9cb21f3ecc186fcdb8f,M.1756909733.A.C8E,全家,義式單品咖啡義式拿鐵,1|2,奶香濃厚，放一小時冰仍在，整體80分,gpt-5.6-luna,excerpt-v2-rewrite
00c2fb5fb5ab56c4e4833362f4f1f80711f73c4de73aa7020c706e211ebbf8cf,M.1747113876.A.18B,全家,粉紅醬鮮蝦細扁麵,8|9|10,蝦味短暫濃郁，蝦肉小但緊實,gpt-5.6-luna,excerpt-v2-rewrite
00e7638d5aff4ecbd3af6e2e2e695a76529fff1f785939b51af03b33f9f29c98,M.1728988434.A.3EB_鮮菇肉絲炒水蓮,全家,鮮菇肉絲炒水蓮,,,gpt-5.6-luna,excerpt-v2-rewrite
0125ce0a5c9a10f37f85241cd5f583fd8f583e6aa9a48d04da16081294dbbf74,M.1746429658.A.2D0,7-11,海鮮奶油貝殼麵,0|1|3,貝殼麵可愛但海鮮奶油味不明，原價偏貴,gpt-5.6-luna,excerpt-v2-rewrite
016e74606fc0465eb3bb9b13c259e0ac008f38f6530d5febf15e4d03949fee9e,M.1721096337.A.FEB,全家,請客樓豆沙鍋餅,1|4|5,芝麻香、紅豆餡帶顆粒且不油耗,gpt-5.6-luna,excerpt-v2-rewrite
01c1717e8d1b95e7af60bcf00ca276f5bf2e6e0d9376914600943d71da8146e8,M.1779631192.A.AC3_香蒜胡椒肉骨茶麵,全家,香蒜胡椒肉骨茶麵,4|5|6,湯頭蒜香胡椒濃郁，肉軟嫩但價格偏高,gpt-5.6-luna,excerpt-v2-rewrite
01c9c4b90be268874c553daa4a8ac0cb4e57ccf9746c14ced91a5d84c4d9f248,M.1735743750.A.B0F,7-11,開心果霜淇淋,2|3|6,比前檔清爽但堅果香較淡，49元買一送一,gpt-5.6-luna,excerpt-v2-rewrite
01cda6b26d4d7c279052e335d533f83fe069b6ae8f83f3007b324eb1d2036702,M.1778845680.A.C5D,7-11,懷舊滷雙拼便當,0,筍絲變少，雞腿大隻、肉片厚,gpt-5.6-luna,excerpt-v2-rewrite
01ec439d15e1069a84723054562202eb5217f653393bc1731583c07279b9fc2a,M.1784374558.A.DEB,全家,白醋涼麵風味雪糕,4|5|10,芝麻被蓋過，白醋夾餡，整體死鹹,gpt-5.6-luna,excerpt-v2-rewrite
01f4a95878cadf233b25839e68e02fc2ff8051732b6349fc3c6dd703b9510622,M.1763731481.A.255,全家,五窨茉莉茶后,5|6|8,茉莉花香淡雅，冰飲舒壓,gpt-5.6-luna,excerpt-v2-rewrite
01fb00925e8300178d6012462bf272a5ca5f867aa92f95ed3ce280ccfe70db7d,M.1746437402.A.19E_貝納頌梅酒拿鐵,7-11,貝納頌梅酒拿鐵,3|5,梅子味明顯帶人工化工味，確定不回購,gpt-5.6-luna,excerpt-v2-rewrite
0227404df4d970872baeaf6c7306ffcee69a1a1add50dd47fc7d6cba0df1beef,M.1778306112.A.22E,7-11,柱侯牛腱飯,0|1|2,調味下飯好吃，但份量偏少,gpt-5.6-luna,excerpt-v2-rewrite
0234b98e850ef110def9501dc1a0c3f94ac1c35b6ec63592a5b158a523b1bb15,M.1723375409.A.9E4_焦糖楓烤翅小腿,全家,焦糖楓烤翅小腿,2|4,翅小腿外觀迷你，碳烤香明顯且偏甜,gpt-5.6-luna,excerpt-v2-rewrite
02352df4ce0cd65a88fb83d364b894ddeb09570da4ef27235a7c11e5e83f5b0a,M.1730176919.A.C23,7-11,爆漿燻腸辣起司飯卷,2|5|6,起司牽絲且鹹度高，需配飲料,gpt-5.6-luna,excerpt-v2-rewrite
0243746bc151eacbcdbec2bbc240a6986d11c040489947a9d719848892480283,M.1727704258.A.E55,全家,牧場直送4.0牛奶雪糕,0|1|2,份量大，奶味普通，甜度偏低似鮮奶,gpt-5.6-luna,excerpt-v2-rewrite
02968acf0c408d79cbaa52fe76d820d7d2cf99149be81dcda590f6af86cbe5e9,M.1760224202.A.A18,7-11,吳一無二檸檬奶霜可頌,3|4|5,檸檬奶霜微酸清爽不膩，可頌仍有層次,gpt-5.6-luna,excerpt-v2-rewrite
02c486850086b4dce59abcd690b8357d7bde51d35df8521569cd5ad361e9ae70,M.1773813683.A.113,全家,抹茶QQ蛋糕捲,5|6|9,外皮QQ、蛋糕體濕潤，抹茶味濃厚帶苦,gpt-5.6-luna,excerpt-v2-rewrite
02c76a901a9d9132792746012401d1c2feb26814614ab444348e817a4bf612ae,M.1718858893.A.7FC,全家,藍莓乳酪軟歐,6|7|9,乳酪醬多，藍莓酸甜有果粒，麵包體有嚼勁,gpt-5.6-luna,excerpt-v2-rewrite
02c824ed43cc2a5ae3d7a886313e6b7cb0732226d5b40ba5fea617519f01090a,M.1779098572.A.2A7,7-11,檸檬卡士達綜合水果三明治,0|1|3,香氣足，卡士達帶檸檬香,gpt-5.6-luna,excerpt-v2-rewrite
02c865cb16f93108d512bcae8e44d9d21524fd201757a1189a13dc738f27e9ce,M.1728345406.A.BD4,全家,經典117咖啡&莊園牛奶霜淇淋,1|3|5,咖啡微苦，黑色餅乾加分但份量較少,gpt-5.6-luna,excerpt-v2-rewrite
02d0c28383e2d691e33fa664ec88247a508e6fb1a91d13c2ad4578b4ecfa14f0,M.1740294087.A.9FD,全家,醇厚可可生乳捲,13|17|18,蛋糕奶油普通，中間巧克力大但比例難拿捏,gpt-5.6-luna,excerpt-v2-rewrite
02dab65fcae461df598fbd4432bbe3f705d9d21572a81bc0ebee8f5da5daf7d1,M.1741335342.A.ECB_beams鋁製摺疊桌,7-11,BEAMS鋁製摺疊桌,4|5|6,橙藍撞色好看，鋁製輕且穩，附提把,gpt-5.6-luna,excerpt-v2-rewrite
02ea2b4eb4a49c7c059aff49c4391e502bc7d2317be9c6dfe7648f8fe2e8f18d,M.1749694840.A.FBF_鮪魚蛋蛋稻荷壽司組,全家,鮪魚蛋蛋稻荷壽司組,11|13|14,搭配健康，豆皮包大麥仁，口感很Q,gpt-5.6-luna,excerpt-v2-rewrite
033358267588880d931fede221b89da310d06c5c49b356c79bedcc1c95d2cbb6,M.1726660891.A.B89,全家,solopasta後花園松露白醬筆尖麵,3|4|7,松露味濃、白醬不膩，麵硬度剛好但肉偏鹹,gpt-5.6-luna,excerpt-v2-rewrite
033cfd7f7161384cae9e702f1a6082405b5080b001802032785aaa5971df0443,M.1744967306.A.AF3_乖乖食堂熱浪島聯名南洋叻沙,全家,乖乖食堂熱浪島聯名南洋叻沙,5|6,叻沙椰奶濃、微辣涮嘴,gpt-5.6-luna,excerpt-v2-rewrite
03610543ff668edd8b2fc20d312bd011b928028b3497bb474b0fc2fab6e5fcef,M.1746442754.A.29D,全家,巨泡芙,1|5|8,泡芙皮軟乾無味，奶油餡多不膩但普通,gpt-5.6-luna,excerpt-v2-rewrite
036567b036a83ff0565b4eba3eb5c72e6c5f7426c15bb54bf78e922cd1b0a70a,M.1739430151.A.D0F_蜜藏草莓乳酪球,全家,蜜藏草莓乳酪球,1|2|6,草莓醬好吃，香料味不重，會回購,gpt-5.6-luna,excerpt-v2-rewrite
03a01093e015e46ab147799686988c98070a863ee4be652612883b59808c091d,M.1726835596.A.372,7-11,香烤魚排佐起司青醬燉飯,1|3|7,魚肉大塊，青醬有義式香料味，但飯易結塊,gpt-5.6-luna,excerpt-v2-rewrite
03a55f0481df9a939ec20f34fc930a143011242af98dde158d6a89f9a63a9db4,M.1736341217.A.C0B,全家,真明太子乳酪細卷,0|1|2,明太子會辣但無乳酪味，整體普通,gpt-5.6-luna,excerpt-v2-rewrite
03ab7f01adda8f7eb9c29000844dd76ef433c56ca642096182da491adb42f042,M.1760485171.A.603,全家,桂圓紅棗水,0|3,桂圓紅棗香淡、無糖且順口,gpt-5.6-luna,excerpt-v2-rewrite
03d662fd3cbefa76d7afb1a5e2fd4851ab58b8a089b5ccf3b373a2804cb5ea3a,M.1784470043.A.B77,全家,梨山水蜜桃x小農牛奶霜淇淋,0|1|3,單口味偏甜易膩，加牛奶後較好吃,gpt-5.6-luna,excerpt-v2-rewrite
03ff4fca75045cc4f0cc3f761f4ef3fe7eab8e3a0eb23e3c360fab914f9a8e09,M.1735394296.A.C82,全家,鬍子碰碰造型瓶蓋扣,2|3,黃色小花造型可愛，矽膠瓶蓋扣有彈性,gpt-5.6-luna,excerpt-v2-rewrite
0407180dc96e8770067d3900a1e80c91d618a4f299192c3e594b5879c5b98f86,M.1728486382.A.B03,全家,仙人掌霜淇淋,1,酸酸甜甜，清爽不膩,gpt-5.6-luna,excerpt-v2-rewrite
04083a9b5d7f4d88ae70a58b96f7bae97eecc96cdb72a01f91837622ced21961,M.1742878444.A.60B_韓式炸醬麵,7-11,韓式炸醬麵,4|5|6,有馬鈴薯，醬味還OK，但偏油,gpt-5.6-luna,excerpt-v2-rewrite
0429f007551a3148b0d9cce374fb4a79b80f79b41990bd2f8a83b86195775aca,M.1720797127.A.598_泰式椰汁綠咖哩雞肉飯,7-11,泰式椰汁綠咖哩雞肉飯,11,椰漿奶味明顯，味道溫和好入口,gpt-5.6-luna,excerpt-v2-rewrite
042ecf1a60799f1aac1fd2141db1055ab40ce66d9e183c6c26105b50c90dabae,M.1764563670.A.FE7_冷萃蜜香紅茶,萊爾富,冷萃蜜香紅茶,,,gpt-5.6-luna,excerpt-v2-rewrite
045582eb70736029d07adb7579a03a82a54f0521da466c4cb9e1ea27b9763e11,M.1730898602.A.24F_麝香葡萄起司,全家,麝香葡萄起司,8|9,起司好吃但偏貴，等特價再買,gpt-5.6-luna,excerpt-v2-rewrite
04a78f59b7249f1ba631d70003f875864f3cbc3e3ae5434b1244f6f4c0ccbc55,M.1767410649.A.495,萊爾富,京都福寿園伊右衛門綠茶,0,味道接近生茶，整體好喝,gpt-5.6-luna,excerpt-v2-rewrite
04c1e08525b05ac21eabe23f9e4141dddd19aa927c8a0f647732428e281f8225,M.1726723224.A.A21,全家,麵茶花生雙餡餅乾三明治,1,餡味淡，僅有餅乾味，不會回購,gpt-5.6-luna,excerpt-v2-rewrite
04d630d62a7ea644344c83f9a84b6471ce0340c0dbc50c1347715b2a19c08f79,M.1738740488.A.B25_沈早海鹽花生可可三明治,全家,沈早海鹽花生可可三明治,3|4|5,可可醬苦甜，花生醬鹹甜有顆粒,gpt-5.6-luna,excerpt-v2-rewrite
04d9450c3893c53119ffdc3cea292d1e5d5c1dd536743af025056d888a400e45,M.1736492549.A.A65,7-11,開心果霜淇淋,1|3,開心果味淡但平衡，清爽不膩,gpt-5.6-luna,excerpt-v2-rewrite
04f822370a888f12dd1e99d3b89117d3dd817436192d3d3d4e4ed1c1c892e596,M.1769575272.A.B3A_鮮乳坊馬鈴薯玉米濃湯,全家,鮮乳坊馬鈴薯玉米濃湯,8|9|10,湯頭濃郁帶玉米甜味，料多，適合加飯,gpt-5.6-luna,excerpt-v2-rewrite
0503bf53f767d5ea1327326043de34bf805d4332ae1fe9d0f1455005af62f69a,M.1722348034.A.1CE,7-11,呷七碗酸菜碗粿,5|6|7,配料少，碗粿紮實，酸菜與醬油味偏淡,gpt-5.6-luna,excerpt-v2-rewrite
050b2daeb14f5b928183726950329c77804a5ce0f8fe5635dc4c535e0de3aff5,M.1728140164.A.84A,全家,芝麻鐵觀音鬆餅,0|2|4,茶香濃搶味，芝麻味偏淡，餅體像甜發糕,gpt-5.6-luna,excerpt-v2-rewrite
0523da50a1030954782c0aca38aa6dcc4031ab535cb7729a9d86a5dc2b9faada,M.1766723621.A.62A,7-11,陽明春天古早味香菇竹筍粥,5|6,胡椒與高湯香濃，香菇口感厚實,gpt-5.6-luna,excerpt-v2-rewrite
0545e418ebceb91c4a591fb9249c1d97efc12867e3c0dd06b5bef41e5e37dc44,M.1753237452.A.079,全家,鹹蛋黃鹽可頌,2|5|8,鹹蛋黃味濃，不驚艷但會回購,gpt-5.6-luna,excerpt-v2-rewrite
054821d249b964e049664f5a20e92c701229c4b363db0a6a38432ebdafad3403,M.1718702921.A.214,7-11,泰式打拋豬肉飯,0|1|3,香氣足帶特殊香料味，但份量少,gpt-5.6-luna,excerpt-v2-rewrite
0569441be093ff145a77fcc7f1f9b5f784b9032c450cab64c5b349cffcdcc419,M.1741847269.A.7B4,全家,喵咪肉球奶油包,0|1,貓掌造型可愛，奶油滑順鹹香，好吃會回購,gpt-5.6-luna,excerpt-v2-rewrite
056ff131b78b82b87c61528c4dc5a608d50df627d1c153f8b9e21929d3d10056,M.1741681131.A.0A2,全家,草莓大福,2|3|4,紅豆不甜，搭微酸草莓好吃且價格合理,gpt-5.6-luna,excerpt-v2-rewrite
0575e23dfdfb3c8f380a9c16fd6b16c06fca3f2e8f62f531ce39928794f79943,M.1756885013.A.C7B,7-11,OH嚕嚕串糰子米血糕風味,2|5|6,五顆份量足，甜醬油花生粉香但易膩,gpt-5.6-luna,excerpt-v2-rewrite
059486562888405a4383235b6a2065d856f02cd9b843c8d7ab4c75da964c41ca,M.1751618290.A.07D,7-11,統一麥香奶茶雪糕,5|6|7,麥香奶茶味淡，乳味弱，像稀釋冰奶茶,gpt-5.6-luna,excerpt-v2-rewrite
0597dc217e48d280cdcfeef5327884849208ad3c8e2f1f53e2c34f4c6e875a8b,M.1734697936.A.C35,全家,牧場直送4.0海鹽焦糖牛奶雪糕,0|2|4,焦糖顆粒多，香氣濃且不甜膩，但海鹽味不明顯,gpt-5.6-luna,excerpt-v2-rewrite
05a88dcc0f76c4ccc6f93f9fb18b699cc428bbf2b1f015fff688f2514aecdd1a,M.1751430650.A.7B7,萊爾富,芋頭QQ麵包,1|3,芋泥餡多且芋味重，麻糬加熱後Q彈好吃,gpt-5.6-luna,excerpt-v2-rewrite
05b8b9fa8ea779591c9d92f8b4f531246e60aa90432fb71ea9d0c66f73ba059e,M.1751691765.A.154_昂舒巴黎雙餡泡芙,7-11,昂舒巴黎雙餡泡芙,4|5|6,雙餡有層次，巧克力外皮改善泡芙皮偏軟,gpt-5.6-luna,excerpt-v2-rewrite
05d9e76e9b3d62fada6729ac7783c56e5611e0633c07c039a404c7217e6ef877,M.1736823834.A.A8D,7-11,小熊維尼蜂蜜派對一番賞,2,一抽即中A賞，讓人很開心,gpt-5.6-luna,excerpt-v2-rewrite
05de5d90b6693f14bedf2cb1f5e3ca121e08f7ffb7bdb6af10f24fb5f85ccddf,M.1743570928.A.00E,全家,Niseko牛奶巧酥幸福杯,1|2|4,餅乾量多，奶香有層次，特價划算,gpt-5.6-luna,excerpt-v2-rewrite
062e8085c5e49f2c432f9e0f18cfbe5016314f00f2ff13ee7dfaad1d368db0f7,M.1730872260.A.94E,全家,青森蘋果藍莓霜淇淋,3|4|6,蘋果微酸藍莓濃郁，但稍偏甜,gpt-5.6-luna,excerpt-v2-rewrite
06390126c8e3d99c574429489ebc4e9e710e57bd5b0c918144fbb4ce7c2ecb8e,M.1761816254.A.EE6,7-11,酷聖霜黑可可摩卡霜淇淋,1|2|3,入口有摩卡味，後段可可味重且不太甜，餅乾脆,gpt-5.6-luna,excerpt-v2-rewrite
0639c1bde3b43f0c3eda06066087a66acc5fc312a64f6b6166d80fb19d1394b9,M.1775306800.A.D4D,7-11,這不是抹茶鬆餅,2|3|4,芥末味很淡、不辣，整體口感偏甜,gpt-5.6-luna,excerpt-v2-rewrite
063b2af7ebbb7b3a058267fd108e023d151fa4c70a7814987dd877ea673760d7,M.1787017132.A.E80,7-11,維力炸醬巧克力拌麵,4|5|6,甜鹹味道尚可，麵條口感佳但花生糖需搗碎,gpt-5.6-luna,excerpt-v2-rewrite
06729f9bcc3cb9a237dabb66a2f4ba90e8ff9803b606bfe5a10b284699eb659a,M.1750940036.A.388,全家,韓味豬肉時蔬拌拌餐盒,0|3,原味調味偏重，豬肉偏柴但蔬菜多,gpt-5.6-luna,excerpt-v2-rewrite
06909b5a3e92702fec81c0f28a22845ac5a84a9bee4259a83f0e98186392b26a,M.1719705364.A.8E8,全家,巧克力扁可頌,1|2|5,像巧克力焦糖脆餅，整體好吃但偏甜,gpt-5.6-luna,excerpt-v2-rewrite
06a79637c4aad4dc7eefba84ce5d9d3b16b00ecf3e50f6ca2dfbea43d74e53ca,M.1744735908.A.95F,全家,百香蜜檸脆冰棒,6|7|8,口感像冰沙，酸甜清爽適合夏天,gpt-5.6-luna,excerpt-v2-rewrite
06c0eca0e45846f55d990c531b6bcb13337dcec5a34519942f4035e873d66c93,M.1737648113.A.451,7-11,蠟筆小新大片海苔,5|7,原味帶淡淡麻油香，好吃涮嘴,gpt-5.6-luna,excerpt-v2-rewrite
06cb8759332994957cbdf3ea0c922efae6f5ef6fc79c813ba86b9e0cfb2ebe5e,M.1729842757.A.04A_滿滿布丁聖代杯,全家,滿滿布丁聖代杯,5|19|23,布丁份量多但甜度爆表，吃約半杯就收手,gpt-5.6-luna,excerpt-v2-rewrite
070150e0230998f22d675dd051ee3e16198c760ea2cdb14abc057e0da766fc6e,M.1751263130.A.7EE_泰式奶茶霜淇淋,7-11,泰式奶茶霜淇淋,11|12,泰奶味純正、奶味足，表現正常,gpt-5.6-luna,excerpt-v2-rewrite
0707ca19cb99221718da95b9308edd84a2020cdf5538b6ba52607aad0bcc0b06,M.1733849143.A.572,7-11,木曜秘製炸醬麵飯糰,5|8|10,包裝難撕，海苔脆但醬料集中處偏鹹,gpt-5.6-luna,excerpt-v2-rewrite
0708f781be0e77111d19cf4d82fcac7e769d4a4239018f8dfd42c8d14d186eeb,M.1777893021.A.2B4,全家,泰式奶茶起司蛋糕霜淇淋,4,起司蛋糕可中和泰奶甜味,gpt-5.6-luna,excerpt-v2-rewrite
07285affbac8bcb4417ab860af27d55320c01fec0e58e9ab2ec500138bae308f,M.1721995755.A.DE9,全家,威士忌爆爆珠拿鐵,3|4|5,酒味清爽帶淡茶香，爆珠有跳跳糖般驚喜,gpt-5.6-luna,excerpt-v2-rewrite
072da528b6d32f48b3fe707d1e737055c09e0c26ae897d733c6bd3bf04afd7e7,M.1756101882.A.C0F,全家,香蕉火龍果牛奶,10|11|16,香蕉味蓋過火龍果，可試一次但不用特地喝,gpt-5.6-luna,excerpt-v2-rewrite
0733e2145e7a4ebdbd669e9c0b705ae36919fa371bbbed65dee0fc16afad5988,M.1722764872.A.117,全家,什錦海之味炊飯,1|4|6,新增小貝柱蛋絲，微辣提味但整體調味偏淡,gpt-5.6-luna,excerpt-v2-rewrite
073edeaaf53dec6e0cfe9ea3ff94f0e973e3851b829903eada2d2d1c44643f4c,M.1756989018.A.67D,7-11,乖乖超大我會好運袋,3|7|11,附積木，乖乖約大三倍，組裝後放桌上可愛,gpt-5.6-luna,excerpt-v2-rewrite
074a4e998ec8a4a6713ef1d96fc78c4192af3c373a14a47c0c577c37a196050d,M.1754812122.A.4AA,全家,水果派對三明治,1|2|3,麵包稍乾帶巧克力香，水果鮮奶油搭配好吃,gpt-5.6-luna,excerpt-v2-rewrite
075df99c3d10e6dbf6474b87399f9294bb3cef2c31b0e4a3c8cb3955ff9b3e35,M.1753975314.A.07D,全家,芋泥蒙布朗布丁,2|5,芋泥真材實料，甜度適中但份量偏少,gpt-5.6-luna,excerpt-v2-rewrite
079103e4c56ad1a56c0798771539f156f9cacbe2faadcf17135f80e38d2fa1ae,M.1744725373.A.760,全家,伊藤園抹茶咖啡綜合霜淇淋,4|6|7,抹茶咖啡味不重，搭配剛好，咖啡更受喜愛,gpt-5.6-luna,excerpt-v2-rewrite
07bb3c19442942156e6d724a9d33b557205f1862952bf057d5df55c840d838cd,M.1748810473.A.BD6,全家,可樂果麻辣鍋味,0,麻辣鍋味相似，辣麻適中，適合配酒,gpt-5.6-luna,excerpt-v2-rewrite
07bec3a81b19680bec6dc5d992be7dde935f0b4688f29df53df534f6d817e2e9,M.1738767270.A.FBF,全家,海鹽花生可可三明治,5|7|9,花生醬有顆粒，可可醬苦甜且爆漿,gpt-5.6-luna,excerpt-v2-rewrite
07fe5f825936b645000131341326b93c7669c1872f7234bf1d5342600ca95005,M.1741534293.A.F1D,7-11,21世紀玉米雞肉熟水餃,4|7,水餃大顆料多，珍食價值得買,gpt-5.6-luna,excerpt-v2-rewrite
0807132cd78e86e295222b75a106650b94a79a521e40856f7c57a11222711707,M.1781407692.A.2B4,7-11,芋頭牛奶霜淇淋,2|3|4,口味顏色自然，奶味淡甜度低，像芋泥霜淇淋,gpt-5.6-luna,excerpt-v2-rewrite
08197e913bd08f0044820d08ecb9598076501afc21ddb3125990c24d478a73f2,M.1728045815.A.873,7-11,極饗海鮮中華丼,10|11|13,醬汁偏甜，原價空虛，非即期折扣不買,gpt-5.6-luna,excerpt-v2-rewrite
082e346a11fd486c7801ba1c42ed70712abc35b4ca150e26ecec8120e2281507,M.1724397229.A.369,7-11,和風葛粉八女抹茶拿鐵,3|4|7,抹茶夠味不死甜，葛粉有果凍感，黑糖與抹茶合適,gpt-5.6-luna,excerpt-v2-rewrite
0837b93a644d4ab98d65e4dd6a6c79ac68755f315d1081367ab085eb87a95b4b,M.1763726867.A.24D,全家,和風咖哩豬肉麵包,2|4|5,咖哩味濃帶微辣，餡料量尚可,gpt-5.6-luna,excerpt-v2-rewrite
08391d2bad8caeff76fc23cfdfbf013f95fff9466c72c432e3d79b33bb9f892c,M.1721578807.A.708_晶英府城肉燥米糕飯糰,7-11,晶英府城肉燥米糕飯糰,1|2|4,肉燥多且重口味，配料豐富，會回購,gpt-5.6-luna,excerpt-v2-rewrite
0845003bc4ee7d5b81836cbfbeb73e0a238e2d8606c762255040ffaa1103dcd3,M.1765966317.A.134,全家,墨西哥風若醬起司嫩蛋捲,3|4|8,嫩蛋大塊、起司牽絲，莎莎醬感重且不辣,gpt-5.6-luna,excerpt-v2-rewrite
085da457e9a12bf7db7ba8794d4208e581109685435c1f8841b90daadb2cf203,M.1720071756.A.35C,全家,哈尼午茉綠芋頭牛奶霜淇淋,1|3|7,芋頭牛奶香淡，甜度低，整體輕盈清爽,gpt-5.6-luna,excerpt-v2-rewrite
086eaffb4728737dff2b2f6d2e19cac57b7ef1fa26d857e9a979200e33d2324d,M.1742549951.A.57C_焙茶拿鐵,7-11,焙茶拿鐵,,,gpt-5.6-luna,excerpt-v2-rewrite
08797fc98e05a267630fae072daa991125c5c136e6bd4e2ce0127d344f80c7c2,M.1755182117.A.A75,全家,蜜柑大福,2|3,蜜柑多汁高甜、纖維少，外皮薄無籽,gpt-5.6-luna,excerpt-v2-rewrite
0885dc9817c0c8f7313ab7699693f430a8ef823cda80d7d652a5f62a4cef3994,M.1726401031.A.CAB,全家,日式煎焙茶霜淇淋,0|1|3,份量大且划算，茶味明顯不甜，但融化很快,gpt-5.6-luna,excerpt-v2-rewrite
089defd2556e00b61aeae887b9d1f180be48fc79fd8f6c6c6c8ae1c2e20c5f79,M.1744954052.A.CEF,7-11,左岸咖啡館厚乳拿鐵,2|3|4,咖啡味道不錯，但瓶身不便攜且易裂,gpt-5.6-luna,excerpt-v2-rewrite
08a287663eda3a65040069cbaac08eb7d5be140374a7cd72720c50257c9ba17a,M.1731133090.A.C7E_韓國柚子飲,7-11,韓國柚子飲,8|9|10,甜度約半糖，常溫回購意願低,gpt-5.6-luna,excerpt-v2-rewrite
08a6275ad94bef97a14535c4689c55196a06e05d7f6a95d9b6eeac2655e28397,M.1721562427.A.39F,全家,哈尼午茉綠香芋牛奶霜淇淋,0|1|2,單吃芋頭偏甜有香精味，綜合較清爽且易融化,gpt-5.6-luna,excerpt-v2-rewrite
08c3431711b513bbe503890e96af91e34153e4744b797e722869f5d8bd1b064b,M.1764734210.A.2D6_剝皮辣椒雞奶油細扁麵,全家,剝皮辣椒雞奶油細扁麵,5|7|11,麵偏硬有麵芯，雞肉嫩且入味，會回購,gpt-5.6-luna,excerpt-v2-rewrite
08ce956f8cab520f6fd7633c250d370532ea534505f688489d21d3dcee1869d5,M.1727015063.A.7D3,7-11,飛壘Max乳酸菌軟糖葡萄口味,7|11|13,紋身貼紙易貼但要小心沾走，葡萄軟糖像口香糖味且好吃,gpt-5.6-luna,excerpt-v2-rewrite
08fce2be15de52e51ce67b65f735b0f1c083968a2909beba5cab5acd346ee0e6,M.1747653160.A.1A7,萊爾富,果C果昔,2|5|9,蘋果藍莓果昔像果泥，酸甜適中但原價貴,gpt-5.6-luna,excerpt-v2-rewrite
090a9837733f7633873008fb3b6f4c35e72866865d95de8332fc92cb7ec94762,M.1721398024.A.596,7-11,芒果情人果,7|8|9,味道不差，冷凍後消暑但口感不像芒果青,gpt-5.6-luna,excerpt-v2-rewrite
