comment_id,品牌,商品,留言tag,留言內容,規則分數,llm分數,llm判定,理由,你的判定,備註
M.1774946492.A.2D7#000,7-11,統一布丁焦糖出走咘布,→,....搞笑!?,0.0,-0.25,負向,名稱揶揄,,
M.1774417271.A.DB1#003,7-11,光泉生乳米漿,→,糖超高,0.0,-0.35,負向,糖分過高,,
M.1773768495.A.CA4#007,7-11,麻辣奶油鮮蝦義大利麵,→,"要不是看子瑜的面子,這次的聯名的熟食都超普炸雞飯超不搭、豬排飯卷超難吃、義大利麵我覺得裡面裡最好吃的...幸好一次買這三個吃有抽到閃卡XD",0.0,0.25,正向,同系列較好,,
M.1772783587.A.287#001,7-11,半熟玉子辣擔擔義大利麵,→,小七是i珍食!!!=,0.0,0.0,中性,談珍食,,
M.1772947670.A.513#003,7-11,韓式辣醬鮪魚夾心土司,→,很難買到,0.0,0.0,中性,只談難買,,
M.1773459347.A.2CA#025,全家,惡魔乳酪生義大利麵,→,"吃過,覺得開發這款商品的人要檢討",0.0,-0.85,負向,開發該檢討,,
M.1772633686.A.188#005,7-11,叉燒豚骨拉麵,→,可惜附近兩家都收起來了,0.0,0.0,中性,店點收掉,,
M.1771503692.A.77C#000,全家,北海道哈密瓜霜淇淋49第,→,真的不是哈精的哈味嗎?那就想試試,0.0,0.15,中性,想試試看,,
M.1770811746.A.E9F#005,7-11,天婦羅蕎麥風味湯麵,→,想試試看,0.0,0.1,中性,想試未吃,,
M.1769857925.A.E0F#011,萊爾富,佛跳牆惜福食堂,→,這也太慘,0.0,-0.4,負向,覺得很慘,,
M.1770259783.A.4B0#019,全家,unknown,→,https://i.mopix.cc/wvr2k4.jpg,0.0,0.0,中性,僅貼圖片,,
M.1769487388.A.F83#000,7-11,樂事麻油雞,→,不曉得會不會出綜合版,0.0,0.0,中性,詢問版本,,
M.1769831936.A.C50#009,萊爾富,鰻魚飯異了飯上則是有著鰻魚的醬汁帶點微甜會讓人一口接一口主菜的鰻魚份量不少度偏薄不過這價位沒什麼好嫌了結論看到的話會這份量女生吃應該是能吃飽鰻魚也給的很實在如果有惜福食七折價能入手建議一定要試看看httpsiimgurcomqjkUePajpeghttpsiimgurcomX6fA5GdjpeghttpsiimgurcomGKJwoAvjpeg剛剛去吃結果鰻魚比你小塊httpsimopixcclQ1itrjpg有細刺要注意httpsimopixccJ9VKuzjpg不錯就是貴記得到app用點數換折價券111沒點數的用國泰自行無卡提款就有點數了,→,https://wooo.tw/Vx9wWAf,0.0,0.0,中性,僅貼連結,,
M.1769856476.A.CBC#002,全家,LOTTE生巧克力派法式濃巧友善時光,→,很好吃 口感很鬆軟 但是很貴,0.08,0.45,正向,好吃但貴,,
M.1777969538.A.D38#052,7-11,鹽烤麻辣雞心,→,有麻感覺可以嘗試欸,0.12,0.25,正向,想嘗試,,
M.1779631192.A.AC3#015,全家,媽媽煮藝蒜香綜合滷味49香蒜胡椒肉骨茶麵,→,我決定把文章轉去脆上面找某位腎臟科網紅醫,0.16,0.0,中性,轉文離題,,
M.1779774854.A.D9B#024,全家,日式胡麻雞絲冷麵85配御茶園,→,沒筍乾少了一味,0.2,-0.35,負向,少一味,,
M.1775565080.A.452#013,7-11,unknown,推,"我覺得還好耶,就口感怪怪但還是麵,整體就碎碎的麵加肉燥,雖然稱不上好吃但是情緒價值加分",0.2,0.15,中性,還好加分,,
M.1773459347.A.2CA#020,全家,惡魔乳酪生義大利麵,推,"超難吃,史上最難吃",0.2,-1.0,負向,史上難吃,,
M.1780747526.A.231#003,萊爾富,樂法葡萄水,→,香料水,0.24,-0.45,負向,像香料水,,
M.1775042974.A.CEA#011,萊爾富,恐龍巧克力歐蕾,推,謝謝避雷,0.24,-0.6,負向,感謝避雷,,
M.1770646354.A.89B#004,萊爾富,嘉義油飯,→,感覺不錯吃耶,0.24,0.45,正向,感覺不錯,,
M.1779189234.A.2DB#013,其他,多力多滋爆脆捲,推,真的很空虛,0.264,-0.5,負向,口感空虛,,
M.1769487388.A.F83#018,7-11,樂事麻油雞,推,沒有香味 不會想回購,0.28,-0.65,負向,不想回購,,
M.1777302503.A.42F#005,7-11,私房功夫菜乾鍋雞便當,→,吃過 覺得米飯比較好吃 可能是 奮起湖/雞腿/雙拼/香腸之類的都把菜飯放在一起 加熱完都濕濕的,0.32,-0.3,負向,菜飯濕軟,,
M.1773459347.A.2CA#035,全家,惡魔乳酪生義大利麵,推,"整個吃完超膩,連剛微波完現場吃都超油",0.34,-0.7,負向,油膩不適,,
M.1776225558.A.E27#007,7-11,純喫茶金萱青茶httpsimopixccwWyqqQjpg650ML,推,太貴了 沒辦法,0.36,-0.45,負向,價格太貴,,
M.1772254171.A.983#020,全家,可可生甜甜圈,→,麵包體我還好~很喜歡內餡的醬,0.384,0.45,正向,內餡喜歡,,
M.1779422438.A.930#011,全家,一度贊蒜味豚骨麵59蒜香綜合滷味49深夜食堂,→,必須說好吃,0.4,0.8,正向,明說好吃,,
M.1777969538.A.D38#000,7-11,鹽烤麻辣雞心,→,全家的沙茶雞胗也很好吃 蛋白質含量也高 比這個辣不少,0.4,0.0,中性,稱讚他品,,
M.1774448156.A.C17#013,7-11,台韓半半炸雞便當i珍食,→,炸雞看起來好好吃,0.4,0.5,正向,看起來好吃,,
M.1770595759.A.004#018,全家,阿里山極選綜合拿鐵90香草卡士達生甜甜圈,→,生甜甜圈很讚,0.4,0.8,正向,很讚,,
M.1779023704.A.C1A#003,7-11,台式炒麵,推,"萊爾富最頂的是狀元油飯,每次21點後都買不到",0.44,-0.1,中性,偏好他店,,
M.1779963379.A.0E1#017,7-11,抹茶紅豆串糰子38和風蕨餅小盛,推,糰子不好吃 蕨餅還可以,0.46,-0.25,負向,糰子不好吃,,
M.1769775601.A.4C4#011,7-11,unknown,推,還以為會很雷 沒想到評價竟然不錯,0.52,0.35,正向,評價不錯,,
M.1781513593.A.EDA#005,全家,厚奶拿鐵酷碰券特大杯59httpsiimgurcom4PVYtVBjpeg49造型燈箱,推,觀望,0.6,0.0,中性,仍在觀望,,
M.1781877949.A.479#017,全家,詹姆士香蒜胡椒肉骨茶泡麵,推,"蒜味真的超重,不到難吃,但吃過一次不會想回購",0.6,-0.25,負向,不會回購,,
M.1780420104.A.0B2#011,全家,BBQ韓式柚子冰茶,推,冰到夠冰會不會比較好喝?,0.6,0.0,中性,詢問喝法,,
M.1780835164.A.37F#015,7-11,unknown,推,(′・ω・‵) 哥 價格在上面 不是評分那裡難怪別人會看錯,0.6,0.0,中性,價格更正,,
M.1781145441.A.5DD#026,7-11,大大大香辣鹹酥雞59兩件,推,"韓式炸雞改版後走下神壇了,骨頭一堆,幹",0.6,-0.7,負向,改版退步,,
M.1779774854.A.D9B#013,全家,日式胡麻雞絲冷麵85配御茶園,推,現在連放一片塑膠阻隔食材都要被當嫌棄的點了嗎,0.6,0.0,中性,反駁包裝,,
M.1779905821.A.B0B#000,全家,鮮橙茉綠,推,我覺得普普,0.6,-0.1,中性,覺得普普,,
M.1779963076.A.371#032,全家,番茄起司手工千層麵,推,請google 蛋白質 DIAAS 小麥通常要/2,0.6,0.0,中性,營養資訊,,
M.1780317879.A.721#006,全家,嘉義崇文白醋涼麵65如附圖75近期在threads上這款涼麵很紅大家都說很而且一定要買的711的不行所以也去買來試試看吃起來很清爽醋味很解膩跟一般涼麵比起來就是多了醋味然後麵條粗一點不過熱量也是因為美乃滋多了很多有網路說的嗎其實也沒有但是滿便宜清爽的解決一餐很不錯而且可以14元獲得飲料更賺了httpsimopixccvr60F5jpghttpsimopixcc3AO9A7jpg1月底有去嘉義玩3天這三天嚴格來說是吃貨行程嘉義涼麵我吃過兩家黃記火生上禮拜吃了小欺的嘉義涼麵感想是味道很不像還原度只有30分呢還原度只有60分住北部的板友有吃過台北大橋頭六特製涼麵嗎我是覺得白醋是靈魂重點的白醋味道跟道地嘉義涼麵還是有落差我先品嚐白醋後就知道味道道不道地的白醋比較像是比較酸的美奶滋跟我在嘉義吃的風味有所不同我有時在想嘉義在地店家白醋都自己調製還是都用白雪牌白醋那時去福義軒總店買名產時忘了去對面買白雪牌白醋有了白雪牌白醋就能自製道地嘉義涼麵去買涼麵後把白雪牌白醋加進去就好記得喔不要把醬油加進去喔嘉義涼麵只有麻醬跟白醋而已話說加了醬油是什味道呢我是不敢試原來如此剛查了一下的確是,推,在嘉義住過吃了一次就沒去了..酸甜中又帶點澀的扁麵,0.6,-0.45,負向,酸甜帶澀,,
M.1779374312.A.C5D#000,7-11,優菓甜坊可可玉米片奶酪,推,味全醇奶布丁真的很屌 但大醇豆超難喝,0.6,0.0,中性,談其他品,,
M.1779631192.A.AC3#000,全家,媽媽煮藝蒜香綜合滷味49香蒜胡椒肉骨茶麵,推,泡麵感覺很讚 不少人說好吃,0.6,0.55,正向,多人說好吃,,
M.1778845680.A.C5D#008,7-11,懷舊滷雙拼便當,推,謝推,0.6,0.1,中性,感謝推薦,,
M.1779098572.A.2A7#002,7-11,檸檬卡士達綜合水果三明治,推,我還是繼續乖乖吃起司三重奏,0.6,-0.25,負向,改吃他品,,
M.1778545603.A.998#006,7-11,茶裏王正山小種,推,主要是價格高又小罐 買不下手,0.6,-0.45,負向,貴且小罐,,
M.1778591362.A.765#007,7-11,猋師傅重量級饗宴大大大雞排,推,這東西之前冷凍好像賣69?換個名字,0.6,-0.25,負向,價值質疑,,
M.1778738488.A.4AF#004,7-11,期間,推,喝了不會烙賽的我可不要喔,0.6,0.0,中性,玩笑離題,,
M.1777800924.A.99F#006,7-11,雙腸大亨堡,推,九成誇張了,0.6,-0.05,中性,質疑比例,,
M.1777962834.A.ADB#000,全家,健康志向x船井生醫玉米鬚茶健康志向x船井生醫纖維粉米米花經典湖鹽兩件合購,推,玉米鬚茶沒有咖啡因、利尿 夏天很適合喝,0.6,0.45,正向,夏天適合,,
M.1778038540.A.9E9#027,全家,好多蛋59鮪魚起司溏心蛋45第二件六折,推,蛋沙拉中間那層是地瓜泥嗎?,0.6,0.0,中性,詢問內餡,,
M.1777430896.A.257#001,7-11,阜杭豆漿饅頭夾豬排蛋,推,阜杭店面有出這個商品嗎?還是超商獨創的?,0.6,0.0,中性,詢問來源,,
M.1777459197.A.BAF#005,全家,山葵生鮪魚泥脆卷,推,推教學,0.6,0.0,中性,稱讚教學,,
M.1777555445.A.FEA#016,全家,滿滿高麗菜豆芽鐵板麵APP券,推,這系列6折都不值,0.6,-0.75,負向,折扣仍不值,,
M.1777628609.A.A2D#006,全家,直立式發光招牌吊飾消費,推,好懷念右邊那個logo 很可愛,0.6,0.4,正向,標誌可愛,,
M.1776860735.A.7C1#004,全家,醬油生鮭脆卷,推,這個超小,0.6,-0.45,負向,份量超小,,
M.1777273813.A.723#002,全家,魔王愛吃辣雞堡,推,微波完麵包超爛 應該學日本分開賣,0.6,-0.8,負向,麵包超爛,,
M.1777307327.A.215#011,全家,大醇豆無加糖黑豆漿,推,"我不是在超商買的,是直接買大罐1857ml,沒特別感覺好喝難喝,就是順順的喝完。",0.6,0.1,中性,普通順口,,
M.1775663147.A.4E2#022,全家,日式甜醬油山葵風味霜淇淋綜合,推,笑死 這什麼怪口味,0.6,-0.25,負向,怪口味嘲笑,,
M.1775923616.A.21D#021,全家,布丁捲蛋糕,推,要評論之前先買來吃,0.6,0.0,中性,勸先試吃,,
M.1776236612.A.38C#003,7-11,檸檬繽球西西里,推,"7-11的比全家好喝多了,全家的冰塊很快化掉",0.6,0.7,正向,比全家好喝,,
M.1776681103.A.7FE#005,7-11,鹽蔥生鮭飯糰52柚檸海灣貝飯糰,推,今天吃全家的有吃到鮭魚的鮮甜味 特價可買,0.6,0.0,中性,稱讚他品,,
M.1775476246.A.4C1#003,7-11,3,推,買去辦公室吃,0.6,0.1,中性,購買用途,,
M.1775565080.A.452#003,7-11,unknown,推,米看起來好像蛆,0.6,-0.8,負向,外觀噁心,,
M.1774666613.A.F18#006,7-11,芬達汽水葡萄一件兩件,推,很小瓶,0.6,-0.25,負向,瓶身很小,,
M.1774927529.A.740#005,7-11,這不是菠蘿麵包,推,711這次比較有創意 其他家好像沒有搞活動,0.6,0.35,正向,活動有創意,,
M.1774946492.A.2D7#026,7-11,統一布丁焦糖出走咘布,推,我還不如20買個大的,0.6,-0.5,負向,不如買大,,
M.1774112122.A.263#002,7-11,麻辣奶油鮮蝦義大利麵,推,甲亢子瑜?,0.6,0.0,中性,玩笑離題,,
M.1774448156.A.C17#023,7-11,台韓半半炸雞便當i珍食,推,有看到但是上面沒有附小卡了QQ,0.6,-0.05,中性,缺小卡,,
M.1773716255.A.35B#009,全家,抹茶白玉酷繽沙,推,"希望蘋果派回歸,最愛的口味",0.6,0.0,中性,懷念他品,,
M.1773837263.A.D32#003,7-11,油雞99獅子頭,推,(′・ω・‵) 哥 你價格位置打錯了沒事 看錯,0.6,0.0,中性,價格更正,,
M.1773940900.A.DD2#023,全家,巧克力雙餡Q皮雪燒,推,覺得太甜,0.6,-0.35,負向,覺得太甜,,
M.1772785322.A.CD6#037,全家,ce霜淇淋伊藤園抹茶x焦糖蘇打36105日5好康,推,請問樓上這是哪一家門市?,0.6,0.0,中性,詢問門市,,
M.1773127329.A.84F#020,全家,抹茶霜淇淋,推,個人偏愛今年不甜版,0.6,0.45,正向,偏愛不甜,,
M.1773395634.A.392#036,全家,雞肉便當,推,"今天撿到友善,醬很鹹且集中要理性分配,雞胸肉還不錯,但原價不會買",0.6,-0.15,中性,鹹且原價不買,,
M.1772524515.A.2E2#004,7-11,香烤魚排青醬燉飯i珍食,推,去吃素,0.6,-0.3,負向,叫人吃素,,
M.1772706215.A.1B4#018,7-11,得正烘培烏龍奶,推,一芳 不喝,0.6,0.0,中性,談他品牌,,
M.1771222639.A.9E2#003,7-11,提拉米蘇酷聖石霜淇淋兩支,推,我覺得就只是三合一咖啡味 但是叫咖啡包口味會沒人買:(,0.6,-0.3,負向,像咖啡包,,
M.1771726484.A.0F4#002,全家,喵咪布丁風味奶油包,推,這結帳會有貓叫聲?,0.6,0.0,中性,結帳玩笑,,
M.1770478126.A.B66#004,7-11,韓式醬燉蛋,推,會很辣嗎?,0.6,0.0,中性,詢問辣度,,
M.1770801857.A.973#009,全家,贅沢巧克力霜淇淋,推,"想吃苦一點的可以就只要巧克力,不想的話可以搭牛奶淡化苦味。",0.6,0.3,正向,口味可調,,
M.1770896914.A.33C#009,全家,贅沢巧克力霜淇淋隨買跨店取,推,過年期間有第二支5元,0.6,0.0,中性,促銷資訊,,
M.1770171245.A.5C0#004,7-11,米香台菜御品佛跳牆加賀屋開運蒲燒鰻魚御膳,推,鰻魚好燒,0.6,0.4,正向,看起來誘人,,
M.1770180536.A.A76#030,全家,unknown,推,雪糕應該會比較像花生捲冰淇淋口感吧~~,0.6,0.0,中性,口感猜測,,
M.1770259783.A.4B0#014,全家,unknown,推,這家太爛了 直接列為黑名單吧,0.6,0.0,中性,店家問題,,
M.1770378669.A.45B#007,全家,極濃義式開心果雪糕40,推,"不覺得有開心果味,比較像杏仁那種堅果味",0.6,-0.35,負向,缺開心果味,,
M.1769622809.A.1E1#015,萊爾富,豬腳飯,推,"豬腳都是皮,皮就是脂肪啊100公克的豬皮,有44g脂肪",0.6,-0.25,負向,脂肪偏多,,
M.1769775601.A.4C4#026,7-11,unknown,推,謝謝解惑,0.6,0.0,中性,感謝解惑,,
M.1770180536.A.A76#036,全家,unknown,推,香菜餅乾類的接受度較高~但獵奇口味有時候真的看人,0.62,0.05,中性,接受看人,,
M.1778297822.A.515#007,全家,嫩烤香料雞胸排蔬滿盒,推,蠻好吃 缺點就是太貴了,0.68,0.45,正向,好吃但貴,,
M.1779819009.A.5A1#019,7-11,日東紅茶皇家奶茶,推,"喝起來有點像另一款老牌的阿薩姆奶茶,還可以。",0.72,0.35,正向,喝起來尚可,,
M.1776860735.A.7C1#002,全家,醬油生鮭脆卷,推,生鮭魚好像可以給機會,0.72,0.3,正向,願意給機會,,
M.1773768495.A.CA4#037,7-11,麻辣奶油鮮蝦義大利麵,推,炸雞飯我覺得可以,0.72,0.0,中性,評論他品,,
M.1769575272.A.B3A#019,全家,鮑滿福氣中華燴麵99鮮乳坊馬鈴薯玉米濃湯,推,https://i.mopix.cc/GbNs54.jpg有買開運鮮食的可以去app抽獎趣抽黃金,0.72,0.0,中性,抽獎資訊,,
M.1773719085.A.2D6#009,全家,抹茶千層蛋糕,推,他是用脂肪抹醬不是鮮奶油 懂得都懂,0.76,-0.45,負向,用料扣分,,
M.1779441216.A.F2D#015,全家,大冰特濃拿鐵可可脆皮泡芙,推,"咖啡搭半價點心根本是全家最強餐促,月底省錢好幫手,大推特濃拿鐵!",0.8,0.85,正向,大推省錢,,
M.1781407692.A.2B4#007,7-11,unknown,推,"https://i.mopix.cc/Cgk7md.jpg買完才到這篇文,希望還不錯推錯版 拍謝",0.84,0.0,中性,未吃且離題,,
M.1780287837.A.BA8#012,7-11,嘉義崇文白醋涼麵,推,還不錯吧,0.84,0.45,正向,還不錯,,
M.1778335884.A.62A#000,全家,鐵道滷排便當,推,看起來不錯耶,0.84,0.4,正向,看起來不錯,,
M.1778038540.A.9E9#007,全家,好多蛋59鮪魚起司溏心蛋45第二件六折,推,好多蛋不錯,0.84,0.55,正向,明說不錯,,
M.1776681103.A.7FE#004,7-11,鹽蔥生鮭飯糰52柚檸海灣貝飯糰,推,看起來這次的都還不錯 哪天來買一下好了,0.84,0.45,正向,看來不錯,,
M.1773899447.A.3B8#004,全家,巧克力雙餡Q皮雪燒55搭咖啡,推,還不錯吃,0.84,0.7,正向,不錯吃,,
M.1772683611.A.AD6#004,全家,巧克力千層蛋糕,推,法式千層也不錯,0.84,0.35,正向,同款不錯,,
M.1770180536.A.A76#002,全家,unknown,推,"花生香菜奶茶,類液態花生捲冰淇淋?",0.84,0.0,中性,口味猜測,,
M.1769622809.A.1E1#010,萊爾富,豬腳飯,推,看起來還不錯耶,0.84,0.4,正向,看起來不錯,,
M.1778591362.A.765#003,7-11,猋師傅重量級饗宴大大大雞排,推,買二送一優惠剛過 不考慮,0.88,-0.1,中性,優惠已過,,
M.1769624813.A.F3D#004,7-11,鰻魚飯,推,這個賣相看起來很香,0.888,0.6,正向,賣相很香,,
M.1778398222.A.F21#006,全家,unknown,推,這成分感覺走養生路線 喜歡無糖的人可能比較能接受,0.92,0.25,正向,養生可接受,,
M.1773672414.A.AA0#008,全家,抹茶蒙布朗布丁65元,推,本身對紅豆還好~布丁的部分我是喜歡的,0.92,0.45,正向,布丁喜歡,,
M.1779963379.A.0E1#023,7-11,抹茶紅豆串糰子38和風蕨餅小盛,推,以前的抹茶糰子我還蠻喜歡的 不過現在這款還沒吃過,0.952,0.1,中性,未吃現款,,
M.1774440426.A.896#009,全家,甜點兩件六九折,推,這價錢!要囤一下了!感謝推薦,0.96,0.75,正向,價格吸引,,
M.1770810259.A.B41#010,全家,香草可樂味雲餡泡芙49友善時光35北海道哈密瓜x贅沢巧克力綜合冰淇淋,推,"哈密瓜跟綜合都有吃,我反而很喜歡他的哈味耶,甜度剛好,可惜比較偏雪酪,綜合心得同原PO",0.984,0.85,正向,甜度剛好,,
M.1781174988.A.014#002,7-11,拿坡里風味肉球義大利麵,推,瑪格麗特那款超好吃的,1.0,0.0,中性,稱讚他款,,
M.1779344011.A.322#000,全家,健身G肉餐盒,推,"推, 有吃過會回購",1.0,0.9,正向,會回購,,
M.1779023704.A.C1A#000,7-11,台式炒麵,推,這款真的大推 好好吃,1.0,1.0,正向,大推好吃,,
M.1778738488.A.4AF#017,7-11,期間,推,"買一次整個後悔,早餐店的還比較好吃,完全沒有復刻到",1.0,-0.9,負向,買了後悔,,
M.1777430896.A.257#005,7-11,阜杭豆漿饅頭夾豬排蛋,推,剛吃完也覺得好吃!,1.0,0.85,正向,覺得好吃,,
M.1776909205.A.C10#030,全家,蜜桃山茶花金萱奶蓋雪糕49買,推,這系列的冰都蠻好吃的,1.0,0.75,正向,系列好吃,,
M.1776058047.A.4CC#024,全家,抹茶QQ蛋糕捲,推,"覺得這個比千層好吃,千層超普",1.0,0.7,正向,比千層好吃,,
M.1774112122.A.263#026,7-11,麻辣奶油鮮蝦義大利麵,推,"今天買了,這醬調味真的好吃",1.0,0.8,正向,醬調味好,,
M.1773768495.A.CA4#039,7-11,麻辣奶油鮮蝦義大利麵,推,覺得超好吃,1.0,0.95,正向,超好吃,,
M.1772785322.A.CD6#017,全家,ce霜淇淋伊藤園抹茶x焦糖蘇打36105日5好康,推,https://i.imgur.com/6D0sSsm.jpeg抹茶好吃,1.0,0.85,正向,抹茶好吃,,
M.1772254171.A.983#008,全家,可可生甜甜圈,推,"這款甜甜圈我覺得蠻好吃的,想吃甜點時會考慮",1.0,0.75,正向,好吃會考慮,,
M.1781265261.A.D4E#001,全家,芋泥Q皮半月燒,推,你也給太高分完全不知道哪來自信稱彰化名產,0.6,-0.8,負向,諷刺高分,,
M.1780643908.A.6ED#003,7-11,抹茶紅豆布蕾,推,抹茶紅豆加牛奶更毒 嘔,0.6,-0.9,負向,毒嘔負評,,
