comment_id,品牌,商品,留言tag,留言內容,模型分數,模型判定,你的判定,你的分數,備註
M.1773395634.A.392#016,全家,：好吃雞肉便當 89元,噓,這款又不是健身系列的一堆人是在？,-0.600,負向,,,
M.1770654381.A.80F#012,萊爾富,"：唐揚雞飯99
        
(區域型商品請註明 試吃試用品請標示價格0元)",噓,萊爾富粉不是很多嗎 怎麼洗這麼少www,-0.600,負向,,,
M.1770180536.A.A76#003,全家,"：38元
        
(區域型商品請註明 試吃試用品請標示價格0元)",噓,邪魔歪道,-0.600,負向,,,
M.1769454205.A.A6D#013,7-11,"：(晶華)富貴海皇羹/159元
        
(區域型商品請註明 試吃試用品",噓,65折都不值得買真的是超盤,-0.600,負向,,,
M.1769622809.A.1E1#005,萊爾富,"：豬腳飯， 139元
        
(區域型商品請註明 試吃試用品請標示價格",噓,分類到底多難 你下一篇有分類 為啥這篇沒有,-0.600,負向,,,
M.1769774598.A.7DC#002,萊爾富,：果C果昔 哈瓜戀乳/$109,噓,不演了 110在超商賣？,-0.600,負向,,,
M.1779963379.A.0E1#013,7-11,"：
抹茶紅豆串糰子 38
和風蕨餅小盛 49",噓,拿日本本家的比， 那我看所有日式甜品都可以撤了,-0.480,負向,,,
M.1770259783.A.4B0#002,全家,"：49，加購金湯匙18
        
(區域型商品請註明 試吃試用品請標示價",噓,你這隻明顯是店員的問題，當下可以反應換一隻的，自己不換上來這邊討拍已經於事無補了,-0.480,負向,,,
M.1781775903.A.26F#006,全家,"：蜜桃颶風蛋糕/45

(區域型商品請註明 試吃試用品請標示價格0元)",→,吃一口就忍不住發文的難吃,-0.400,負向,,,
M.1781775903.A.26F#011,全家,"：蜜桃颶風蛋糕/45

(區域型商品請註明 試吃試用品請標示價格0元)",→,就是搜尋之後發現沒人發文才特地發這篇的警世文真的太難吃了QAQ,-0.400,負向,,,
M.1781065583.A.1DF#023,全家,"：焦糖拿鐵烤雞細扁麵 99元
        
(區域型商品請註明 試吃試用品請",→,這個真的難吃，還讓我想起蔓越莓口味的可樂果，慘！,-0.400,負向,,,
M.1781065583.A.1DF#024,全家,"：焦糖拿鐵烤雞細扁麵 99元
        
(區域型商品請註明 試吃試用品請",→,用折價券買的，咖啡味算明顯，神奇的味道，但不會回購,-0.400,負向,,,
M.1779963379.A.0E1#009,7-11,"：
抹茶紅豆串糰子 38
和風蕨餅小盛 49",→,和菓子放久肯定不好吃,-0.400,負向,,,
M.1780233212.A.A43#010,7-11,"：
89",→,真正的南部粽是軟中帶Q 軟而不爛才是好吃的 不會是軟爛,-0.400,負向,,,
M.1780287837.A.BA8#026,7-11,：嘉義崇文白醋涼麵 / 65,→,711真的難吃,-0.400,負向,,,
M.1779357200.A.7A0#005,全家,：濃厚鮮乳布丁/40$,→,不健康的好吃 哈哈 嚇死誰,-0.400,負向,,,
M.1777555445.A.FEA#005,全家,"：

全家滿滿高麗菜豆芽鐵板麵

原價99元
APP優惠券60元",→,麵太軟了 不好吃,-0.400,負向,,,
M.1777273813.A.723#011,全家,：魔王愛吃辣雞堡/65,→,肉看起來還蠻厚的，但畢竟是微波，麵包看起來不太好吃辣度應該還蠻看個人的，有機會去買來吃吃看,-0.400,負向,,,
M.1775702718.A.4E4#013,全家,"：香草卡士達甜甜圈/$49
        
(區域型商品請註明 試吃試用品請標",→,擺到友善時光的會越來越不好吃,-0.400,負向,,,
M.1775923616.A.21D#009,全家,： 一顆布丁捲蛋糕  $49,→,看到友善時光就被買了，真是不好吃,-0.400,負向,,,
M.1775150871.A.412#013,7-11,：星級饗宴 柱侯牛腱飯 109元,→,覺得很難吃，有股怪味,-0.400,負向,,,
M.1774927529.A.740#017,7-11,：這不是菠蘿麵包30元,→,這不是滷肉飯很難吃,-0.400,負向,,,
M.1774440426.A.896#000,全家,"：

55元 甜點兩件六九折",→,看到板上頗多好評跑去買口感爛爛的 沒想像中好吃,-0.400,負向,,,
M.1774536090.A.2AD#000,全家,"：青檸紅茶馬卡龍/49
        
(區域型商品請註明 試吃試用品請標示價",→,我覺得是之前開心果做太薄隨便破 加上餡難吃這次至少不會碎得到處都是 但真的硬黏 味道上還可,-0.400,負向,,,
M.1774536090.A.2AD#005,全家,"：青檸紅茶馬卡龍/49
        
(區域型商品請註明 試吃試用品請標示價",→,昨天也有買，這餡真的不行，咬下去全溢出來流到手上，整體風味也不是很搭，不會回購,-0.400,負向,,,
M.1774536090.A.2AD#011,全家,"：青檸紅茶馬卡龍/49
        
(區域型商品請註明 試吃試用品請標示價",→,全家甜點除了千層/泡芙，其他很容易雷,-0.400,負向,,,
M.1773768495.A.CA4#008,7-11,：麻辣奶油鮮蝦義大利麵/149元,→,豬排飯卷我還買了十個......才吃二個就很崩潰......真的難吃,-0.400,負向,,,
M.1772883941.A.566#002,7-11,：原萃鍋煮風味麥茶/$30,→,喝一次不會回購的產品,-0.400,負向,,,
M.1773127329.A.84F#007,全家,"：抹茶霜淇淋 49
        
(區域型商品請註明 試吃試用品請標示價格0",→,全家業配真的很多，常常看了版上全家甜點文去買，多半都很難吃，現在已騙不到我了,-0.400,負向,,,
M.1773395634.A.392#007,全家,：好吃雞肉便當 89元,→,就給突然健身完沒東西好吃的人買吧??,-0.400,負向,,,
M.1773395634.A.392#037,全家,：好吃雞肉便當 89元,→,不好吃 配菜好爛,-0.400,負向,,,
M.1773459347.A.2CA#013,全家,：惡魔乳酪生義大利麵/99,→,全家葉文真多…一堆難吃硬捧,-0.400,負向,,,
M.1773459347.A.2CA#049,全家,：惡魔乳酪生義大利麵/99,→,超難吃 連30分 我都打不下去..ha,-0.400,負向,,,
M.1773459347.A.2CA#052,全家,：惡魔乳酪生義大利麵/99,→,我覺得這超難吃XD,-0.400,負向,,,
M.1771503692.A.77C#019,全家,"：北海道哈密瓜霜淇淋49
第二支5元",→,吃了兩間都水水的，連胖胖冰都撐不起來我真的不能覺得好吃除非是倒楣兩間剛好都還沒製冰製好，但以前根本沒遇過不過兩個混再一起納口感我真的覺得連純草莓都不如,-0.400,負向,,,
M.1770952373.A.AC6#038,全家,：贅沢巧克力x哈密瓜霜淇淋/49元,→,綜合難吃到爆... 哀,-0.400,負向,,,
M.1769857925.A.E0F#006,萊爾富,"：
佛跳牆 129元 惜福食堂 90元
        
(區域型商品請註明 試",→,好好笑 我以為是我有問題 真的好難吃,-0.400,負向,,,
M.1769612697.A.096#001,7-11,：開心果千層塔/$55,→,真不好吃,-0.400,負向,,,
M.1769612697.A.096#003,7-11,：開心果千層塔/$55,→,我烤了 也不好吃,-0.400,負向,,,
M.1769856476.A.CBC#009,全家,：LOTTE生巧克力派-法式濃巧口味 / 原價$89 友善時光$63,→,沒標價 我也是結帳才傻掉 超級不推 沒那個價值,-0.400,負向,,,
M.1775702718.A.4E4#002,全家,"：香草卡士達甜甜圈/$49
        
(區域型商品請註明 試吃試用品請標",噓,說什麼巧克力的好吃，都是垃圾，油耗味這麼重好吃個片,-0.387,負向,,,
M.1780747526.A.231#018,萊爾富,"：樂法 葡萄水 $29
        
(區域型商品請註明 試吃試用品請標示價",→,這明明很甜 不喜歡太甜的才不愛,-0.384,負向,,,
M.1780287837.A.BA8#035,7-11,：嘉義崇文白醋涼麵 / 65,→,配料只有黃瓜 不是很喜歡,-0.384,負向,,,
M.1770378669.A.45B#001,全家,"：極濃義式開心果雪糕 40 買一送一
        
(區域型商品請註明 試吃",→,開心果為太淡 不喜歡甜度確實是螞蟻人會愛,-0.384,負向,,,
M.1778738488.A.4AF#010,7-11,"：新品促銷期間一瓶35元
        
(區域型商品請註明 試吃試用品請標示",→,感謝避雷,-0.360,負向,,,
M.1777525415.A.08A#000,7-11,"：十六茶 水果茶 / $35
  (區域型商品請註明 試吃試用品請標示價格0元)",→,認真說十六茶還是習慣無糖卡讚~沒事摻糖變果茶味道超怪=,-0.360,負向,,,
M.1775042974.A.CEA#003,萊爾富,"：恐龍巧克力歐蕾 特價20
        
(區域型商品請註明 試吃試用品請標",→,哇這個這麼糟哦,-0.360,負向,,,
M.1775565080.A.452#004,7-11,"：
49",→,"去年有出過米型麵,雷到爆炸",-0.360,負向,,,
M.1774536090.A.2AD#008,全家,"：青檸紅茶馬卡龍/49
        
(區域型商品請註明 試吃試用品請標示價",→,謝謝幫排雷,-0.360,負向,,,
M.1773127329.A.84F#014,全家,"：抹茶霜淇淋 49
        
(區域型商品請註明 試吃試用品請標示價格0",→,去年的抹茶是真的雷,-0.360,負向,,,
M.1772118249.A.9FF#008,全家,"：贅沢巧克力x哈密瓜霜淇淋49
冰心卡士達雙餡蛋糕49",→,綜合巧克力會蓋掉哈密瓜的味道 不推,-0.360,負向,,,
M.1771004079.A.860#003,7-11,"：
星級饗宴-半筋半肉麻辣牛肉麵
價格168台幣
一路發",→,這系列都是雷改個名字繼續漲價,-0.360,負向,,,
M.1770471620.A.48F#014,7-11,"：福得生活 香菜布蕾 55
        
(區域型商品請註明 試吃試用品請標",→,笑死感謝避雷,-0.360,負向,,,
M.1775565080.A.452#032,7-11,"：
49",→,感覺不是很優,-0.336,負向,,,
M.1773905395.A.519#000,全家,：伊藤園抹茶x 焦糖蘇打霜淇淋 $49,→,蘇打單吃也不很優 ㄞ,-0.336,負向,,,
M.1778545603.A.998#047,7-11,"：茶裏王 正山小種/39元
        
(區域型商品請註明 試吃試用品請標",→,茶的喜好每個都不同，黃茶 黑茶，大多人就不愛但喜歡的就會非常的愛喝,-0.320,負向,,,
M.1777307327.A.215#044,全家,大醇豆無加糖黑豆漿,噓,說反了吧，低端才會在那邊鄉愿支持黑心企業還莫名優越,-0.320,負向,,,
M.1773940900.A.DD2#020,全家,"：巧克力雙餡Q皮雪燒 $55
        (區域型商品請註明 試吃試用品請標",→,上次開心果的皮超甜 還有個蜂蜜味 不喜歡,-0.320,負向,,,
M.1773940900.A.DD2#017,全家,"：巧克力雙餡Q皮雪燒 $55
        (區域型商品請註明 試吃試用品請標",→,對平常喝無糖茶的人來說，這甜度大概7-8分，然後超膩,-0.312,負向,,,
M.1769487388.A.F83#005,7-11,"：樂事 麻油雞口味/35
        
(區域型商品請註明 試吃試用品請標示",→,@jiaxinh503 完全不香，一打開很失望,-0.312,負向,,,
M.1773127329.A.84F#013,全家,"：抹茶霜淇淋 49
        
(區域型商品請註明 試吃試用品請標示價格0",→,去年就不好吃當然記得，今年也不是濃只是比較有抹茶味,-0.300,負向,,,
M.1773459347.A.2CA#043,全家,：惡魔乳酪生義大利麵/99,→,難吃，不推，差點吃不完，青醬已經油膩，再加上也很膩的乳酪，然後麵吃起來很粉,-0.290,負向,,,
M.1773940900.A.DD2#022,全家,"：巧克力雙餡Q皮雪燒 $55
        (區域型商品請註明 試吃試用品請標",→,我倒覺得吃到後面很膩，第一次全家甜點吃不完就不想吃了,-0.288,負向,,,
M.1773459347.A.2CA#001,全家,：惡魔乳酪生義大利麵/99,→,吃到最後很膩，會吃不下去，我給60,-0.288,負向,,,
M.1773459347.A.2CA#005,全家,：惡魔乳酪生義大利麵/99,→,吃到後面很膩,-0.288,負向,,,
M.1772715803.A.8C6#026,7-11,：伯朗黑糖奶茶 580ml / 原價 $35/件,→,覺得很甜膩加了冰塊稀釋,-0.288,負向,,,
M.1781240311.A.BA8#009,萊爾富,"：
喜勒焦糖烤布丁膩/45元
（目前有活動2個60元）
刷聯邦信用卡再打折",→,想吃生乳布丁，什麼是來送禮，現場直接買沒優惠？,-0.280,負向,,,
M.1781364359.A.6DB#003,全家,：藤椒雞丁炒飯/$95,→,份量少了點，肉沒幾塊，吃完真的小麻，喝飲料比較沒味道 :(,-0.280,負向,,,
M.1775492006.A.16F#045,全家,"：開心果霜淇淋/ 5支$188
        
(區域型商品請註明 試吃試用品",→,跟巧克力一起吃完全沒味道不如吃巧克力就好,-0.280,負向,,,
M.1772524515.A.2E2#027,7-11,"：香烤魚排青醬燉飯
  109元 i珍食*0.65",→,這魚真的沒什麼魚味，給的很大塊但吃起來有點空虛,-0.280,負向,,,
M.1777613273.A.0BF#015,全家,"：黑胡椒豬肉炒麵麵包

原價65 app優惠券39",→,欸本來就超鹹齁某樓還要爭論啥?真可笑=,-0.260,負向,,,
M.1776509174.A.773#001,全家,"：全家霜淇淋 起司+咖啡口味
應該是之前用剩的口味 口味表示是用手寫呈現

(區",→,其實多擠也差一點 心情問題 只有小是還可以忍受 但是一開始下面就在滴真的很麻煩又噁心以前甚至昨天在同一家點蘭姆葡萄+咖啡 吃的都沒那麼誇張不過也一樣沒有很好吃 今天經過看到換起司像是嚐鮮看看結果就踩雷https://i.verb.tw/QowlJ11M.jpg,-0.260,負向,,,
M.1775150871.A.412#005,7-11,：星級饗宴 柱侯牛腱飯 109元,→,其實超商微波食大多都超鹹&鈉爆表~真正感覺辣的算少數!=,-0.260,負向,,,
M.1773236795.A.595#011,7-11,"：
蝦仁鹽味炒飯飯糰 $45",→,説超鹹的是不是得到Covid-19的後遺症？,-0.260,負向,,,
M.1781969433.A.C82#003,7-11,"：金沙滷肉粽香風味新極大飯糰/55
        
(區域型商品請註明 試吃試",→,普通，不會想回購,-0.240,負向,,,
M.1779681926.A.F52#001,全家,"：蔬活腿排補力餐盒 /119
        
(區域型商品請註明 試吃試用品請",→,太貴了,-0.240,負向,,,
M.1778802633.A.CF9#023,全家,：紅豆燕麥麵包/檸檬燕麥豆漿餐包，都39$,→,有券+有買到 覺得檸檬的普通 不會回購,-0.240,負向,,,
M.1778545603.A.998#016,7-11,"：茶裏王 正山小種/39元
        
(區域型商品請註明 試吃試用品請標",→,產對標正確沒問題，只是太貴了比那些XX地進口，台灣分裝標台灣產的好就是,-0.240,負向,,,
M.1778671237.A.AE3#002,全家,"：
全家 FamilyMart x 大埔鐵板燒 爆炒雞丁飯 / $99",→,肉是真的很少，醬汁很鹹,-0.240,負向,,,
M.1778688997.A.D89#002,全家,"：多力多滋爆脆捲爆蒜濃蝦口味玉米捲
/40元

        
(區域型商品請",→,袋裝+罐裝？ 太嬌貴了吧,-0.240,負向,,,
M.1778738488.A.4AF#012,7-11,"：新品促銷期間一瓶35元
        
(區域型商品請註明 試吃試用品請標示",→,這價格也太貴,-0.240,負向,,,
M.1777555070.A.1FD#008,7-11,：青醬蛤蜊義大利麵 $89,→,太鹹,-0.240,負向,,,
M.1777555445.A.FEA#023,全家,"：

全家滿滿高麗菜豆芽鐵板麵

原價99元
APP優惠券60元",→,感覺很乾,-0.240,負向,,,
M.1777613273.A.0BF#014,全家,"：黑胡椒豬肉炒麵麵包

原價65 app優惠券39",→,有問題統統怪給太鹹,-0.240,負向,,,
M.1774946492.A.2D7#015,7-11,：統一布丁-焦糖出走咘布,→,黃色黑色不都香料+凝固劑，成本是能差到哪,-0.240,負向,,,
M.1773768495.A.CA4#010,7-11,：麻辣奶油鮮蝦義大利麵/149元,→,居然是很鹹喔 QQ,-0.240,負向,,,
M.1773940900.A.DD2#014,全家,"：巧克力雙餡Q皮雪燒 $55
        (區域型商品請註明 試吃試用品請標",→,餡很厚鹹，建議冰過再吃,-0.240,負向,,,
M.1770259783.A.4B0#026,全家,"：49，加購金湯匙18
        
(區域型商品請註明 試吃試用品請標示價",→,吃起來有室外機差不多苦 不錯吃 但不知道為什麼這檔融化的特別快,-0.240,負向,,,
M.1770354862.A.A7D#010,全家,"： 杜老爺香菜白巧雪脆雪糕  59
        
(區域型商品請註明 試吃試",→,太貴，味道也有點淡,-0.240,負向,,,
M.1769487388.A.F83#004,7-11,"：樂事 麻油雞口味/35
        
(區域型商品請註明 試吃試用品請標示",→,打開來不知道會不會香,-0.240,負向,,,
M.1769774598.A.7DC#010,萊爾富,：果C果昔 哈瓜戀乳/$109,→,這杯也太貴，我果昔只買70以下的,-0.240,負向,,,
M.1773672414.A.AA0#002,全家,"：抹茶蒙布朗布丁/65 元 (活動期間八折 52 元)
        
(區域",→,覺得茶味很不明顯，吃完很膩，都是奶油和紅豆的味道,-0.224,負向,,,
M.1777555445.A.FEA#043,全家,"：

全家滿滿高麗菜豆芽鐵板麵

原價99元
APP優惠券60元",→,味道蠻像的 也蠻鹹的,-0.220,負向,,,
M.1770811746.A.E9F#009,7-11,：天婦羅蕎麥風味湯麵 $109,→,這款真的蠻鹹,-0.220,負向,,,
M.1780835164.A.37F#001,7-11,：,→,i珍食比原價還貴 幫QQ,-0.200,中性,,,
M.1779774854.A.D9B#023,全家,"：日式胡麻雞絲冷麵85, 配御茶園99",→,我印象比較鹹，不過打折價會想吃,-0.200,中性,,,
M.1779963076.A.371#023,全家,：番茄起司手工千層麵 / 109,→,覺得普 但是千層麵本來在餐廳也比較貴,-0.200,中性,,,
M.1779963076.A.371#036,全家,：番茄起司手工千層麵 / 109,→,鹹又貴,-0.200,中性,,,
M.1779373868.A.43A#003,7-11,"：鮮蝦明太子冷義大利麵/89
        
(區域型商品請註明 試吃試用品請",→,貴份量又少,-0.200,中性,,,
M.1778861808.A.A39#005,7-11,：玉米起司蛋餅/55,→,好貴 有沒有內容物照片,-0.200,中性,,,
M.1778711367.A.453#000,7-11,"：
(區域型商品請註明 試吃試用品請標示價格0元)

鴨肉捲餅：79元
京醬肉絲",→,好貴,-0.200,中性,,,
M.1777436690.A.C51#030,全家,"：99
        
(區域型商品請註明 試吃試用品請標示價格0元)",→,沒拿到折價券，原價買，我給30分，裡面雞肉丁我只吃到三小塊，高麗菜也很少，要不是黑胡椒醬夠鹹，根本只能吃白飯,-0.200,中性,,,
M.1777608345.A.AB2#008,7-11,"：
89
OP+1 79",→,兩種便宜的小吃裝在一起就變貴了,-0.200,中性,,,
M.1777613273.A.0BF#007,全家,"：黑胡椒豬肉炒麵麵包

原價65 app優惠券39",→,吃一口鹹爆+++後來把料挖出來，另泡王子麵去水，一起拌一拌才變成鹹+程度,-0.200,中性,,,
M.1776225558.A.E27#005,7-11,"：

7-11 純喫茶 金萱青茶(無糖)

https://i.mopix.cc",→,今天喝完感覺沒啥特別~試過就好但就是貴...繼續無糖綠!=,-0.200,中性,,,
M.1776476351.A.0BA#003,萊爾富,"：巧克力花生三明治 /49x0.7
        
(區域型商品請註明 試吃試",→,以前早餐最便宜 現在變貴了…直接收割,-0.200,中性,,,
M.1775058385.A.6ED#000,7-11,： 火腿起司蛋 凱薩堡 （限定販售）$69,→,之前吃上面芝麻易掉超搶戲~成份簡單但貴...吃過就夠嚕!=,-0.200,中性,,,
M.1775109280.A.263#013,7-11,"：iseLect 嚴選素材經典拿鐵咖啡 / 30元(特價2件45元)
     ",→,難怪前陣子都沒賣拿鐵就問哪家不是化工廠 375就大鋁箔包容量而已耶 真是越來越貴,-0.200,中性,,,
M.1775216611.A.30D#001,7-11,"：
249
最近扣100",→,原價真的好貴,-0.200,中性,,,
M.1774927529.A.740#009,7-11,：這不是菠蘿麵包30元,→,只有麵包菠蘿皮會想買，但這根本是餅乾不是麵包,-0.200,中性,,,
M.1772783587.A.287#021,7-11,：半熟玉子辣擔擔義大利麵/129,→,外表看感覺還行但感覺有點貴 可能下次去wg運動完有看到打折再考慮買,-0.200,中性,,,
M.1772783587.A.287#025,7-11,：半熟玉子辣擔擔義大利麵/129,→,麻煩嫌貴的就等i珍食就是辣麽簡單!!!=,-0.200,中性,,,
M.1772891500.A.5C9#008,全家,：伊藤園抹茶霜淇淋 $49,→,有些店是不是沒有綠色餅乾,-0.200,中性,,,
M.1773031591.A.068#033,全家,：抹茶霜淇淋兩支55/抹茶千層59,→,今天買了霜淇淋，有抹茶味但不濃，比去年好的是起碼沒有奇怪的甜味了XD,-0.200,中性,,,
M.1773127329.A.84F#027,全家,"：抹茶霜淇淋 49
        
(區域型商品請註明 試吃試用品請標示價格0",→,抹茶味不濃,-0.200,中性,,,
M.1771004079.A.860#021,7-11,"：
星級饗宴-半筋半肉麻辣牛肉麵
價格168台幣
一路發",→,好貴,-0.200,中性,,,
M.1771004079.A.860#025,7-11,"：
星級饗宴-半筋半肉麻辣牛肉麵
價格168台幣
一路發",→,吃過 還行 不過真的偏鹹,-0.200,中性,,,
M.1770478126.A.B66#000,7-11,"：韓式醬燉蛋 59
        
(區域型商品請註明 試吃試用品請標示價格0",→,偏貴,-0.200,中性,,,
M.1770478126.A.B66#007,7-11,"：韓式醬燉蛋 59
        
(區域型商品請註明 試吃試用品請標示價格0",→,昨天才吃有點貴然後普普的,-0.200,中性,,,
M.1770175271.A.571#032,全家,：贅澤巧克力霜淇淋 $49,→,像夜市口味但贅澤 有模仿成功喔 夜市94貴,-0.200,中性,,,
M.1770377163.A.97A#000,全家,全家 立頓香菜奶茶,→,為什麼現在一堆獵奇口味的產品 披薩餅乾還不夠 連飲料也淪陷還有冰棒...,-0.200,中性,,,
M.1769454205.A.A6D#004,7-11,"：(晶華)富貴海皇羹/159元
        
(區域型商品請註明 試吃試用品",→,有點小貴,-0.200,中性,,,
M.1769487388.A.F83#016,7-11,"：樂事 麻油雞口味/35
        
(區域型商品請註明 試吃試用品請標示",→,最近是什麼都能成為餅乾口味大賽嗎,-0.200,中性,,,
M.1769774598.A.7DC#006,萊爾富,：果C果昔 哈瓜戀乳/$109,→,這就是日本711做起來的產品吧 這麼貴是因為口味關係?,-0.200,中性,,,
M.1769774598.A.7DC#009,萊爾富,：果C果昔 哈瓜戀乳/$109,→,好貴!!,-0.200,中性,,,
M.1769775601.A.4C4#003,7-11,"：49
        
(區域型商品請註明 試吃試用品請標示價格0元)",→,吉拿棒加送的餅乾上週去吃就沒了,-0.200,中性,,,
M.1769856476.A.CBC#011,全家,：LOTTE生巧克力派-法式濃巧口味 / 原價$89 友善時光$63,→,對不起，但我真的不是很清楚生巧克力跟一般巧克力吃起來差在哪？只知道多一個生字貴很多= =,-0.200,中性,,,
M.1769622809.A.1E1#003,萊爾富,"：豬腳飯， 139元
        
(區域型商品請註明 試吃試用品請標示價格",→,豬腳是很油 但不信有到105克脂肪==,-0.192,中性,,,
M.1773459347.A.2CA#024,全家,：惡魔乳酪生義大利麵/99,→,這個超油…吃沒幾口就要瀝油了=_=,-0.184,中性,,,
M.1781969433.A.C82#004,7-11,"：金沙滷肉粽香風味新極大飯糰/55
        
(區域型商品請註明 試吃試",→,真正的3D油飯,-0.160,中性,,,
M.1781969433.A.C82#006,7-11,"：金沙滷肉粽香風味新極大飯糰/55
        
(區域型商品請註明 試吃試",→,油飯裝肉粽不夠 還要裝飯糰==,-0.160,中性,,,
M.1781969433.A.C82#015,7-11,"：金沙滷肉粽香風味新極大飯糰/55
        
(區域型商品請註明 試吃試",→,這連油飯都不是...,-0.160,中性,,,
M.1778839825.A.DA2#007,7-11,：綠寶石葡萄三明治/79$,→,定位與價格應該比較接近蛋糕，滿滿鮮奶油與新鮮水果,-0.160,中性,,,
M.1777555445.A.FEA#003,全家,"：

全家滿滿高麗菜豆芽鐵板麵

原價99元
APP優惠券60元",→,全家出品只能說加油好嗎?=,-0.160,中性,,,
M.1777307327.A.215#031,全家,大醇豆無加糖黑豆漿,→,誰家豆漿會加油?,-0.160,中性,,,
M.1777307327.A.215#054,全家,大醇豆無加糖黑豆漿,→,別人也爛不代表你不爛，護航味全的加油好嗎？警察你幹嘛開我單，前面那個也違規你怎麼不處理？嗚嗚嗚……笑死神邏輯,-0.160,中性,,,
M.1775702718.A.4E4#015,全家,"：香草卡士達甜甜圈/$49
        
(區域型商品請註明 試吃試用品請標",→,人造奶油甜點先打槍..好希望能有點真鮮奶油的甜點,-0.160,中性,,,
M.1773395634.A.392#032,全家,：好吃雞肉便當 89元,→,今天晚餐買來吃，從外觀看以為油豆腐是三角半塊，沒想到更狠，直接給橫面剖半的，全家什麼時候也玩起包裝詐欺了https://i.imgur.com/BoPkVau.jpeg,-0.160,中性,,,
M.1773459347.A.2CA#015,全家,：惡魔乳酪生義大利麵/99,→,添加鮮奶油,-0.160,中性,,,
M.1769622809.A.1E1#007,萊爾富,"：豬腳飯， 139元
        
(區域型商品請註明 試吃試用品請標示價格",→,脂肪量沒問題阿，豬腳的熱量真的超級高黏性高的滷汁，油量很高，豬腳若是炸過再滷且皮多的100g+是很有可能的，皮幾乎等於油,-0.160,中性,,,
M.1771331298.A.D02#004,全家,"：貓貓尾巴捲蛋糕/39元
        
(區域型商品請註明 試吃試用品請標示",→,蛋糕偏乾，很普通。,-0.148,中性,,,
